gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	proteinMW	Copies/Cell_MG1655.Glucose	g/Protein	cumulativeAbundance
b2201	2297021	2297644	-1	gene		2297024	0	P33931					5809958.571344681	61771429769.10427
b2202	2297657	2298259	-1	gene		2297657	0	P0ABL5					5809958.571344681	61777239727.67561
b2203	2298269	2298718	-1	gene		2298269	0	P0ABL3					5809958.571344681	61783049686.246956
b2204	2298715	2299578	-1	gene		2298718	0	P33934					5809958.571344681	61788859644.8183
b2205	2299565	2300260	-1	gene		2299578	0	P0AAL3					5809958.571344681	61794669603.38964
b2206	2300267	2302753	-1	gene		2300267	0	P33937					5809958.571344681	61800479561.96098
b2207	2302750	2303013	-1	gene		2302753	0	P0A9I5					5809958.571344681	61806289520.532326
b2208	2303003	2303497	-1	gene		2303013	0	P0AAL0					5809958.571344681	61812099479.10367
PM444	2303498	2303577	-1	promoter	[b2194, b2195, b2196, b2197, b2198, b2199, b2200, b2201, b2202, b2203, b2204, b2205, b2206, b2207, b2208]	2303498	0						0.0	61812099479.10367
PM0-8920	2303498	2303695	-1	promoter	[b2202, b2203, b2204, b2205, b2206, b2207, b2208]	2303577	0						0.0	61812099479.10367
b2209	2303905	2304393	1	gene		2303905	0	P23827	Ecotin OS=Escherichia coli (strain K12) GN=eco PE=1 SV=1	eco	18162.39088	65.56595989895413	1190834.5921072103	61813290313.69578
b2210	2305108	2306754	-1	gene		2305108	0	P33940	Malate:quinone oxidoreductase OS=Escherichia coli (strain K12) GN=mqo PE=1 SV=2	mqo	60173.82383	164.42608040556922	9894145.995382138	61823184459.69116
b2211	2306972	2308615	-1	gene		2306972	0	P33941	ABC transporter ATP-binding protein YojI OS=Escherichia coli (strain K12) GN=yojI PE=1 SV=2	yojI	61495.78074	0.8168853689084503	50235.00353610807	61823234694.694695
PM0-10338	2308616	2308641	-1	promoter	[b2211]	2308616	0						0.0	61823234694.694695
b2212	2308691	2309341	-1	gene		2308691	0	P05050					5809958.571344681	61829044653.26604
b2213	2309341	2310405	-1	gene		2309341	0	P06134					5809958.571344681	61834854611.83738
PM00135	2309342	2309445	-1	promoter	[b2212]	2310405	1						0.0	61834854611.83738
PM00101	2310406	2310427	-1	promoter	[b2212, b2213]	2310406	0						0.0	61834854611.83738
b2214	2310479	2311534	-1	gene		2310479	0	P0AB85					5809958.571344681	61840664570.40872
b2215	2311646	2312749	-1	gene		2311646	0	P06996	Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1	ompC	40325.36434	20763.206183868064	837283854.2310207	62677948424.63974
PM00630	2312750	2312887	-1	promoter	[b2215]	2312750	0						0.0	62677948424.63974
PM00401	2313084	2313083	1	promoter	[b4439]	2313084	1						0.0	62677948424.63974
b4439	2313084	2313176	1	gene		2313084	0						5809958.571344681	62683758383.21108
PM0-36140	2313452	2313487	1	promoter	[b2217, b2216]	2313452	0						0.0	62683758383.21108
b2216	2313488	2316160	1	gene		2313488	0						5809958.571344681	62689568341.782425
PM0-36142	2315695	2316176	1	promoter	[b2217]	2316160	0						0.0	62689568341.782425
b2217	2316177	2316827	1	gene		2316177	0						5809958.571344681	62695378300.35377
b2218	2317027	2319876	-1	gene		2317027	0						5809958.571344681	62701188258.92511
b2219	2320043	2321869	1	gene		2320043	0	Q06067					5809958.571344681	62706998217.49645
b2220	2321866	2323251	1	gene		2321869	0						5809958.571344681	62712808176.067795
PM00155	2323412	2323446	1	promoter	[b2224, b2221, b2222, b2223]	2323412	0						0.0	62712808176.067795
b2221	2323447	2324109	1	gene		2323447	0	P76458					5809958.571344681	62718618134.63914
b2222	2324109	2324759	1	gene		2324109	0	P76459					5809958.571344681	62724428093.21048
b2223	2324756	2326078	1	gene		2324759	0	P76460					5809958.571344681	62730238051.78182
b2224	2326109	2327293	1	gene		2326109	0	P76461					5809958.571344681	62736048010.353165
b2225	2327367	2328143	-1	gene		2327367	0	P76462					5809958.571344681	62741857968.92451
b2226	2328148	2329797	-1	gene		2328148	0	P76463					5809958.571344681	62747667927.49585
b4500	2329798	2334402	-1	gene		2329798	0						5809958.571344681	62753477886.06719
b2229	2334336	2334959	-1	gene		2334402	0	P76466	Uncharacterized protein yfaT OS=Escherichia coli (strain K12) GN=yfaT PE=4 SV=2	yfaT	23733.79485	2.6179010665558544	62132.72685123284	62753540018.794044
b2230	2334956	2336644	-1	gene		2334959	0	P17994					5809958.571344681	62759349977.36539
b2231	2336793	2339420	-1	gene		2336793	0	P0AES4	DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1	gyrA	96885.40294	517.4973829090649	50137942.46354022	62809487919.828926
PM00192	2339421	2339457	-1	promoter	[b2231]	2339421	0						0.0	62809487919.828926
PM00169	2339539	2339566	1	promoter	[b2232]	2339539	0						0.0	62809487919.828926
b2232	2339567	2340289	1	gene		2339567	0	P17993	3-demethylubiquinone-9 3-methyltransferase OS=Escherichia coli (strain K12) GN=ubiG PE=1 SV=1	ubiG	26520.48429	1038.7538810106848	27548255.982520398	62837036175.81145
b2233	2340417	2344169	-1	gene		2340417	0	P45508					5809958.571344681	62842846134.38279
PM00063	2344755	2344864	1	promoter	[b2236, b2234, b2235]	2344755	0						0.0	62842846134.38279
b2234	2344865	2347150	1	gene		2344865	0	P00452	Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2	nrdA	85703.20812	414.3852513320344	35514145.43676785	62878360279.81956
b2235	2347384	2348514	1	gene		2347384	0	P69924	Ribonucleoside-diphosphate reductase 1 subunit beta OS=Escherichia coli (strain K12) GN=nrdB PE=1 SV=2	nrdB	43471.70663	343.1214673317732	14916075.766301975	62893276355.58586
b2236	2348514	2348768	1	gene		2348514	0	P0ABW3					5809958.571344681	62899086314.1572
b2237	2348822	2349472	-1	gene		2348822	0	P27294					5809958.571344681	62904896272.728546
PM0-2021	2349473	2349499	-1	promoter	[b2237]	2349473	0						0.0	62904896272.728546
b2238	2349651	2349893	1	gene		2349651	0	P45505					5809958.571344681	62910706231.29989
b2239	2349935	2351011	-1	gene		2349935	0	P09394	Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=glpQ PE=1 SV=2	glpQ	40799.26496	539.4212195475877	22007989.261368364	62932714220.56126
b2240	2351016	2352374	-1	gene		2351016	0	P08194	Glycerol-3-phosphate transporter OS=Escherichia coli (strain K12) GN=glpT PE=1 SV=1	glpT	50258.70958	50.813157988015455	2553803.750162326	62935268024.31142
PM00039	2352375	2352451	-1	promoter	[b2239, b2240]	2352375	0						0.0	62935268024.31142
PM00037	2352583	2352646	1	promoter	[b2241, b2242, b2243]	2352583	0						0.0	62935268024.31142
b2241	2352647	2354275	1	gene		2352647	0	P0A9C0	Anaerobic glycerol-3-phosphate dehydrogenase subunit A OS=Escherichia coli (strain K12) GN=glpA PE=1 SV=1	glpA	58903.37347	86.83543194254476	5114899.878140481	62940382924.18956
b2242	2354265	2355524	1	gene		2354275	0	P13033	Anaerobic glycerol-3-phosphate dehydrogenase subunit B OS=Escherichia coli (strain K12) GN=glpB PE=1 SV=1	glpB	45310.44439	62.43204928693976	2828823.8973696227	62943211748.08693
b2243	2355521	2356711	1	gene		2355524	0	P0A996	Anaerobic glycerol-3-phosphate dehydrogenase subunit C OS=Escherichia coli (strain K12) GN=glpC PE=1 SV=1	glpC	44061.53167	10.661384071603448	469756.91191698884	62943681504.99885
b2244	2356904	2357803	1	gene		2356904	0	P37014					5809958.571344681	62949491463.57019
b4543	2357804	2358001	1	gene		2357804	0						5809958.571344681	62955301422.14153
b2245	2358042	2358845	-1	gene		2358042	0	P76469					5809958.571344681	62961111380.712875
b2246	2358863	2360152	-1	gene		2358863	0	P76470					5809958.571344681	62966921339.28422
b2247	2360209	2361414	-1	gene		2360209	0	P77215					5809958.571344681	62972731297.85556
b2248	2361429	2362211	-1	gene		2361429	0	P77732					5809958.571344681	62978541256.4269
b2249	2362431	2363633	-1	gene		2362431	0	P77808	CinA-like protein OS=Escherichia coli (strain K12) GN=yfaY PE=1 SV=1	yfaY	44179.54703	96.58149187732226	4266926.562621722	62982808182.989525
PM0-10085	2363634	2363655	-1	promoter	[b2249]	2363634	0						0.0	62982808182.989525
b2250	2363733	2364275	-1	gene		2363733	0	P76471					5809958.571344681	62988618141.56087
b2251	2364554	2364979	1	gene		2364554	0	P52006					5809958.571344681	62994428100.13221
b2252	2365018	2365620	-1	gene		2365018	0	P45565					5809958.571344681	63000238058.70355
b2253	2365928	2367067	1	gene		2365928	0	P77690	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase OS=Escherichia coli (strain K12) GN=arnB PE=1 SV=2	arnB	41605.50156	1.527573199735484	63555.449144608865	63000301614.152695
b2254	2367071	2368039	1	gene		2367071	0	P77757					5809958.571344681	63006111572.72404
b2255	2368039	2370021	1	gene		2368039	0	P77398	Bifunctional polymyxin resistance protein ArnA OS=Escherichia coli (strain K12) GN=arnA PE=1 SV=1	arnA	74224.11717	4.973254368704296	369135.41497892205	63006480708.139015
b2256	2370018	2370908	1	gene		2370021	0	P76472					5809958.571344681	63012290666.71036
b2257	2370908	2372560	1	gene		2370908	0	P76473					5809958.571344681	63018100625.2817
b4544	2372557	2372892	1	gene		2372560	0	Q47377					5809958.571344681	63023910583.85304
b2258	2372892	2373278	1	gene		2372892	0	P76474					5809958.571344681	63029720542.424385
b2259	2373272	2373538	-1	gene		2373278	0	P37590					5809958.571344681	63035530500.99573
b2260	2373648	2375003	-1	gene		2373648	0	P37353					5809958.571344681	63041340459.56707
b2261	2375000	2375962	-1	gene		2375003	0	P29208	o-succinylbenzoate synthase OS=Escherichia coli (strain K12) GN=menC PE=1 SV=2	menC	35436.28815	6.153314948852607	218050.6416052435	63041558510.20867
b2262	2375962	2376819	-1	gene		2375962	0	P0ABU0	1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1	menB	31594.51617	432.9641913032907	13679294.14316279	63055237804.35184
b2263	2376834	2377592	-1	gene		2376834	0	P37355					5809958.571344681	63061047762.92318
b2264	2377589	2379259	-1	gene		2377592	0	P17109					5809958.571344681	63066857721.49452
b2265	2379348	2380643	-1	gene		2379348	0	P38051	Menaquinone-specific isochorismate synthase OS=Escherichia coli (strain K12) GN=menF PE=1 SV=4	menF	48716.08772	1.1147634980684697	54306.91635895763	63066912028.41088
b2266	2380722	2381027	-1	gene		2380722	0	P0AEH5	Protein elaB OS=Escherichia coli (strain K12) GN=elaB PE=1 SV=1	elaB	11280.81214	1850.8776927138808	20879403.545621935	63087791431.956505
b2267	2381082	2381543	-1	gene		2381082	0	P0AEH3	Protein elaA OS=Escherichia coli (strain K12) GN=elaA PE=3 SV=1	elaA	17390.65594	82.76074461246697	1439263.6348936218	63089230695.5914
b2268	2381608	2382525	1	gene		2381608	0	P0A8V0					5809958.571344681	63095040654.16274
b2269	2382713	2383924	1	gene		2382713	0	Q47013					5809958.571344681	63100850612.734085
b2270	2383995	2385722	-1	gene		2383995	0	P76481					5809958.571344681	63106660571.30543
b2271	2385860	2386831	1	gene		2385860	0	P76482					5809958.571344681	63112470529.87677
b2272	2386934	2387437	1	gene		2386934	0	P76483					5809958.571344681	63118280488.44811
b2273	2387710	2388426	-1	gene		2387710	0	P76484					5809958.571344681	63124090447.019455
b2274	2388635	2389057	1	gene		2388635	0	P76485					5809958.571344681	63129900405.5908
b2275	2389116	2389964	1	gene		2389116	0	P76486					5809958.571344681	63135710364.16214
b2276	2390048	2391505	-1	gene		2390048	0	P0AFF0	NADH-quinone oxidoreductase subunit N OS=Escherichia coli (strain K12) GN=nuoN PE=1 SV=2	nuoN	51992.04676	4.418268063946272	229714.79977890922	63135940078.96192
b2277	2391512	2393041	-1	gene		2391512	0	P0AFE8					5809958.571344681	63141750037.533264
b2278	2393205	2395046	-1	gene		2393205	0	P33607	NADH-quinone oxidoreductase subunit L OS=Escherichia coli (strain K12) GN=nuoL PE=1 SV=2	nuoL	66376.18893	0.27459796713353973	18226.766546249764	63141768264.29981
b2279	2395043	2395345	-1	gene		2395046	0	P0AFE4					5809958.571344681	63147578222.871155
b2280	2395342	2395896	-1	gene		2395345	0	P0AFE0					5809958.571344681	63153388181.4425
b2281	2395908	2396450	-1	gene		2395908	0	P0AFD6	NADH-quinone oxidoreductase subunit I OS=Escherichia coli (strain K12) GN=nuoI PE=1 SV=1	nuoI	20506.12496	495.02724968669236	10151090.640680434	63163539272.083176
b2282	2396465	2397442	-1	gene		2396465	0	P0AFD4	NADH-quinone oxidoreductase subunit H OS=Escherichia coli (strain K12) GN=nuoH PE=1 SV=1	nuoH	36176.95551	41.22458421049595	1491379.9489013604	63165030652.032074
b2283	2397439	2400165	-1	gene		2397442	0	P33602	NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4	nuoG	100217.9683	1089.5926186602437	109196758.51680629	63274227410.54888
b2284	2400218	2401555	-1	gene		2400218	0	P31979	NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3	nuoF	49242.93959	401.7307416067449	19782402.64038684	63294009813.18927
b2285	2401552	2402052	-1	gene		2401555	0	P0AFD1	NADH-quinone oxidoreductase subunit E OS=Escherichia coli (strain K12) GN=nuoE PE=1 SV=1	nuoE	18560.16361	932.2279586649582	17302303.43463794	63311312116.62391
b2286	2402055	2403845	-1	gene		2402055	0	P33599	NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3	nuoC	68174.53178	925.189900068121	63074388.24472915	63374386504.86864
b2287	2403951	2404613	-1	gene		2403951	0	P0AFC7	NADH-quinone oxidoreductase subunit B OS=Escherichia coli (strain K12) GN=nuoB PE=1 SV=1	nuoB	25021.38614	225.70983732466166	5647572.995296944	63380034077.86394
b2288	2404629	2405072	-1	gene		2404629	0	P0AFC3	NADH-quinone oxidoreductase subunit A OS=Escherichia coli (strain K12) GN=nuoA PE=3 SV=1	nuoA	16428.6146	248.26930192313623	4078720.678306244	63384112798.542244
PM00593	2405073	2405335	-1	promoter	[b2276, b2277, b2278, b2279, b2280, b2281, b2282, b2283, b2284, b2285, b2286, b2287, b2288]	2405073	0						0.0	63384112798.542244
b2289	2405703	2406641	-1	gene		2405703	0	P36771	Probable HTH-type transcriptional regulator lrhA OS=Escherichia coli (strain K12) GN=lrhA PE=4 SV=2	lrhA	34553.72226	28.967307718123607	1000928.3055119975	63385113726.847755
PM00576	2406642	2406656	-1	promoter	[b2289]	2406642	0						0.0	63385113726.847755
PM0-45322	2407408	2407560	1	promoter	[b2290]	2407408	0						0.0	63385113726.847755
b2290	2407561	2408778	1	gene		2407561	0	P0A959	Uncharacterized aminotransferase YfbQ OS=Escherichia coli (strain K12) GN=yfbQ PE=1 SV=1	yfbQ	45470.38651	100.72320255210151	4579922.950569074	63389693649.798325
PM0-45323	2408831	2408861	1	promoter	[b2291]	2408831	0						0.0	63389693649.798325
b2291	2408862	2409461	1	gene		2408862	0	P76491	5'-nucleotidase yfbR OS=Escherichia coli (strain K12) GN=yfbR PE=1 SV=1	yfbR	22675.59007	117.05085905591903	2654197.297293367	63392347847.09562
b2292	2409520	2411352	-1	gene		2409520	0	P0AFU2					5809958.571344681	63398157805.66696
b2293	2411439	2412089	-1	gene		2411439	0	P77625	Phosphatase YfbT OS=Escherichia coli (strain K12) GN=yfbT PE=1 SV=2	yfbT	22975.10218	1044.2100534931126	23990832.67638753	63422148638.343346
b2294	2412100	2412594	-1	gene		2412100	0	P0A8W8	UPF0304 protein yfbU OS=Escherichia coli (strain K12) GN=yfbU PE=1 SV=1	yfbU	19505.45171	1192.657375463299	23263320.84367472	63445411959.18702
PM0-46328	2412595	2412594	-1	promoter	[b2294, b2293]	2412595	1						0.0	63445411959.18702
b2295	2412677	2413132	-1	gene		2412677	0	P0A8D9	UPF0208 membrane protein yfbV OS=Escherichia coli (strain K12) GN=yfbV PE=1 SV=1	yfbV	17184.14466	7.338411229684607	126104.3201454688	63445538063.507164
PM00524	2413459	2413469	1	promoter	[b2296]	2413459	0						0.0	63445538063.507164
b2296	2413470	2414672	1	gene		2413470	0	P0A6A3	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	ackA	43245.07012	4092.2857942539617	176971186.12359247	63622509249.63076
b2297	2414747	2416891	1	gene		2414747	0	P0A9M8	Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2	pta	77105.88254	1053.75628351799	81250808.22272508	63703760057.853485
b2298	2417081	2418601	1	gene		2417081	0	P39263					5809958.571344681	63709570016.42483
b2299	2418634	2419176	-1	gene		2418634	0	P65556	Uncharacterized Nudix hydrolase yfcD OS=Escherichia coli (strain K12) GN=yfcD PE=1 SV=1	yfcD	20344.90063	1434.8390717597879	29191658.334994324	63738761674.75982
b2300	2419234	2419788	-1	gene		2419234	0	P67095	Phosphodiesterase yfcE OS=Escherichia coli (strain K12) GN=yfcE PE=1 SV=1	yfcE	20091.35787	622.0815849297957	12498463.747161323	63751260138.50698
b2301	2419841	2420485	-1	gene		2419841	0	P77544	Uncharacterized GST-like protein yfcF OS=Escherichia coli (strain K12) GN=yfcF PE=1 SV=1	yfcF	24292.47047	74.77320879272523	1816425.9665444219	63753076564.473526
b2302	2420621	2421268	1	gene		2420621	0	P77526					5809958.571344681	63758886523.04487
b2303	2421325	2421687	1	gene		2421325	0	P0AC19	D-erythro-7,8-dihydroneopterin triphosphate epimerase OS=Escherichia coli (strain K12) GN=folX PE=1 SV=2	folX	14055.38764	848.9612045097725	11932478.82070617	63770819001.86558
b2304	2421708	2422601	1	gene		2421708	0	P77775	Epimerase family protein yfcH OS=Escherichia coli (strain K12) GN=yfcH PE=3 SV=1	yfcH	32660.18647	38.89531470108041	1270328.2309466186	63772089330.09653
b2305	2422649	2423539	-1	gene		2422649	0	P77768					5809958.571344681	63777899288.66787
b2306	2423736	2424509	-1	gene		2423736	0	P07109	Histidine transport ATP-binding protein HisP OS=Escherichia coli (strain K12) GN=hisP PE=1 SV=2	hisP	28617.07416	183.72009454529598	5257531.570284947	63783156820.23815
b2307	2424517	2425233	-1	gene		2424517	0	P0AEU3					5809958.571344681	63788966778.809494
b2308	2425230	2425916	-1	gene		2425233	0	P52094	Histidine transport system permease protein hisQ OS=Escherichia coli (strain K12) GN=hisQ PE=1 SV=2	hisQ	24615.27278	49.314441933965334	1213888.4401980273	63790180667.249695
b2309	2426006	2426788	-1	gene		2426006	0	P0AEU0	Histidine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=hisJ PE=1 SV=1	hisJ	28447.63566	11693.044802046365	332639478.2846718	64122820145.53436
PM0-9577	2426789	2426837	-1	promoter	[b2306, b2307, b2308, b2309]	2426789	0						0.0	64122820145.53436
b2310	2427009	2427791	-1	gene		2427009	0	P09551	Lysine-arginine-ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=argT PE=1 SV=3	argT	27956.24088	3084.757707861146	86238229.53740287	64209058375.07176
PM0-3781	2427792	2427849	-1	promoter	[b2306, b2307, b2308, b2309, b2310]	2427792	0						0.0	64209058375.07176
b2311	2428057	2428626	-1	gene		2428057	0	P0AG03	3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiX PE=3 SV=1	ubiX	20663.96714	10.914422512379671	225535.2681478898	64209283910.33991
b2312	2428721	2430238	-1	gene		2428721	0	P0AG16	Amidophosphoribosyltransferase OS=Escherichia coli (strain K12) GN=purF PE=1 SV=2	purF	56434.59517	570.2133515824594	32179759.657084975	64241463669.996994
b2313	2430275	2430763	-1	gene		2430275	0	P08550					5809958.571344681	64247273628.56834
PM00629	2430764	2430800	-1	promoter	[b2311, b2312, b2313]	2430764	0						0.0	64247273628.56834
b2314	2431022	2431684	-1	gene		2431022	0	P09549	Protein dedD OS=Escherichia coli (strain K12) GN=dedD PE=4 SV=2	dedD	22906.23661	89.77898114276333	2056498.584660865	64249330127.153
b2315	2431674	2432942	-1	gene		2431684	0	P08192	Bifunctional protein folC OS=Escherichia coli (strain K12) GN=folC PE=1 SV=2	folC	45359.43089	341.2195648383337	15477525.269600274	64264807652.4226
b2316	2433012	2433926	-1	gene		2433012	0	P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1	accD	33282.06852	1488.0715709801636	49526099.98802585	64314333752.41063
PM00526	2433927	2434015	-1	promoter	[b2316]	2433927	0						0.0	64314333752.41063
b2317	2434082	2434741	-1	gene		2434082	0	P0ABP6					5809958.571344681	64320143710.98197
b2318	2434824	2435636	-1	gene		2434824	0	P07649					5809958.571344681	64325953669.553314
b2319	2435636	2436649	-1	gene		2435636	0	P08390	USG-1 protein OS=Escherichia coli (strain K12) GN=usg PE=1 SV=1	usg	36323.47208	372.20840529636195	13519901.617723728	64339473571.171036
PM0-5423	2436650	2436890	-1	promoter	[b2317, b2318, b2319]	2436650	0						0.0	64339473571.171036
b2320	2436715	2437851	-1	gene		2436890	0	P05459	Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxB PE=2 SV=2	pdxB	41323.77299	1068.0732800677347	44136817.76220376	64383610388.93324
PM00405	2437852	2437884	-1	promoter	[b2317, b2318, b2319, b2320]	2437852	0						0.0	64383610388.93324
PM00406	2437912	2437949	1	promoter	[b2321]	2437912	0						0.0	64383610388.93324
b2321	2437950	2438945	1	gene		2437950	0	P15286	Flagellar regulator flk OS=Escherichia coli (strain K12) GN=flk PE=3 SV=2	flk	36627.36873	5.707308524795065	209043.6937935412	64383819432.62704
b2322	2438942	2440120	-1	gene		2438945	0	P77549					5809958.571344681	64389629391.19838
b2323	2440385	2441605	-1	gene		2440385	0	P0A953	3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1	fabB	42568.05338	4556.84976431722	193976224.01209584	64583605615.21047
PM00407	2441606	2441641	-1	promoter	[b2323]	2441606	0						0.0	64583605615.21047
b2324	2441764	2443770	1	gene		2441764	0	P77182	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein mnmC OS=Escherichia coli (strain K12) GN=mnmC PE=1 SV=2	mnmC	74368.85895	7.994792588535089	594563.6023512713	64584200178.81282
b2325	2443891	2444169	-1	gene		2443891	0	P64540	Uncharacterized protein yfcL OS=Escherichia coli (strain K12) GN=yfcL PE=4 SV=1	yfcL	9975.83693	1273.218102928682	12701416.171140485	64596901594.98396
b2326	2444203	2444751	-1	gene		2444203	0	P76938					5809958.571344681	64602711553.555305
b2327	2444751	2445560	-1	gene		2444751	0	P0AD30					5809958.571344681	64608521512.12665
b2328	2445560	2446384	-1	gene		2445560	0	P0C0T5					5809958.571344681	64614331470.69799
b2329	2446388	2447473	-1	gene		2446388	0	P12008	Chorismate synthase OS=Escherichia coli (strain K12) GN=aroC PE=1 SV=4	aroC	39094.99499	669.0544383368609	26156679.91481684	64640488150.61281
b2330	2447508	2448440	-1	gene		2447508	0	P39199	Uncharacterized adenine-specific methylase yfcB OS=Escherichia coli (strain K12) GN=yfcB PE=3 SV=3	yfcB	34961.46662	1111.4619234938511	38858338.93763127	64679346489.55044
b2331	2448606	2449157	1	gene		2448606	0	P0A8B2	UPF0115 protein yfcN OS=Escherichia coli (strain K12) GN=yfcN PE=3 SV=1	yfcN	20981.98037	142.63259163416595	2992714.2377902963	64682339203.78823
b2332	2449228	2450049	-1	gene		2449228	0	P76498					5809958.571344681	64688149162.35957
b2333	2450051	2450590	-1	gene		2450051	0	P76499					5809958.571344681	64693959120.930916
b2334	2450587	2451075	-1	gene		2450590	0	P76500					5809958.571344681	64699769079.50226
b2335	2451072	2451584	-1	gene		2451075	0	P76501					5809958.571344681	64705579038.0736
b2336	2451584	2452336	-1	gene		2451584	0	P77599					5809958.571344681	64711388996.64494
b4661	2452356	2455001	-1	gene		2452356	0						5809958.571344681	64717198955.216286
b2339	2455083	2455646	-1	gene		2455083	0	P77288					5809958.571344681	64723008913.78763
b2340	2456327	2456812	-1	gene		2456327	0	P76502	Phosphohistidine phosphatase sixA OS=Escherichia coli (strain K12) GN=sixA PE=1 SV=1	sixA	17178.5693	36.56904504745884	628203.8745825934	64723637117.66221
PM0-3681	2456813	2456999	-1	promoter	[b2340]	2456813	0						0.0	64723637117.66221
b2341	2457015	2459159	-1	gene		2457015	0	P77399	Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1	fadJ	77005.72935	7.137974336511296	549664.9198646346	64724186782.58207
b2342	2459159	2460469	-1	gene		2459159	0	P76503	3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadI PE=1 SV=1	fadI	46483.14049	0.6742380258958807	31340.700881418477	64724218123.28295
PM0-5561	2460470	2460511	-1	promoter	[b2341, b2342]	2460470	0						0.0	64724218123.28295
b2343	2460650	2460934	-1	gene		2460650	0	P0AD33	UPF0381 protein yfcZ OS=Escherichia coli (strain K12) GN=yfcZ PE=3 SV=1	yfcZ	10292.70137	1318.887144161276	13574911.515584154	64737793034.79854
PM0-10086	2460935	2460979	-1	promoter	[b2343]	2460935	0						0.0	64737793034.79854
PM00110	2461205	2461305	1	promoter	[b2344]	2461205	0						0.0	64737793034.79854
b2344	2461306	2462646	1	gene		2461306	0	P10384	Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5	fadL	48493.51804	349.66463195531827	16956468.13767519	64754749502.93621
b2345	2463012	2464070	1	gene		2463012	0	P76505					5809958.571344681	64760559461.50755
b2346	2464252	2465007	-1	gene		2464252	0	P76506	Probable phospholipid-binding lipoprotein mlaA OS=Escherichia coli (strain K12) GN=mlaA PE=1 SV=1	mlaA	28005.73403	318.82776304316053	8929005.533166617	64769488467.04072
PM0-10087	2465008	2465135	-1	promoter	[b2346]	2465008	0						0.0	64769488467.04072
b2347	2465301	2466233	1	gene		2465301	0	P37327					5809958.571344681	64775298425.61206
PM00653	2466308	2466308	1	promoter	[b2348]	2466308	0						0.0	64775298425.61206
b2348	2466309	2466383	1	gene		2466309	0						5809958.571344681	64781108384.1834
PM0-36189	2466515	2466544	1	promoter	[b2349]	2466515	0						0.0	64781108384.1834
b2349	2466545	2467702	1	gene		2466545	0	P37326					5809958.571344681	64786918342.754745
b2350	2467855	2468217	1	gene		2467855	0	P77682					5809958.571344681	64792728301.32609
b2351	2468214	2469134	1	gene		2468217	0	P77293	Bactoprenol glucosyl transferase homolog from prophage CPS-53 OS=Escherichia coli (strain K12) GN=yfdH PE=1 SV=1	yfdH	34595.50641	37.38319577804914	1293290.5891657842	64794021591.91525
b2352	2469131	2470462	1	gene		2469134	0	P76507	Uncharacterized protein yfdI OS=Escherichia coli (strain K12) GN=yfdI PE=4 SV=1	yfdI	51431.83983	62.2863869744575	3203503.4784596963	64797225095.393715
b2353	2470815	2471105	1	gene		2470815	0						5809958.571344681	64803035053.96506
b2354	2471077	2471517	-1	gene		2471105	0	P77656					5809958.571344681	64808845012.5364
b2355	2471544	2472122	-1	gene		2471544	0	P76508					5809958.571344681	64814654971.10774
b2356	2472118	2472387	-1	gene		2472122	0	P76509					5809958.571344681	64820464929.679085
b2357	2472387	2472881	-1	gene		2472387	0	P76510					5809958.571344681	64826274888.25043
b2358	2472878	2473585	-1	gene		2472881	0	P0AD35					5809958.571344681	64832084846.82177
b2359	2473604	2473966	1	gene		2473604	0	P76512					5809958.571344681	64837894805.39311
b2360	2474032	2474856	1	gene		2474032	0	P76513					5809958.571344681	64843704763.964455
