gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass	iBAQ_W3110	iBAQ_W3110_cumulative_abundance
b2177	2272364	2274178	1	gene		2272364	0	P33913				0.017911945107084437			97.86728078552721	-8.181174514997334e-07	0.4018186948269294
b2178	2274179	2275273	1	gene		2274179	0	P0AFU0				0.017911945107084437			97.88519273063429	-8.181174514997334e-07	0.4018178767094779
b2179	2275273	2276298	1	gene		2275273	0	P33915				0.017911945107084437			97.90310467574136	-8.181174514997334e-07	0.4018170585920264
b2180	2276300	2277889	1	gene		2276300	0	P33916				0.017911945107084437			97.92101662084845	4.6450267759558824e-06	0.40181624047457487
b2181	2277893	2278237	-1	gene		2277893	0	P0AD21				0.017911945107084437			97.93892856595555	1.0306389978501451e-05	0.4018208855013508
PM0-46319	2278238	2278397	-1	promoter	[b2181]	2278238	0					0.0			97.93892856595555	-8.181174514997334e-07	0.4018311918913293
b2182	2278570	2279760	-1	gene		2278570	0	P28246				0.017911945107084437			97.95684051106262	-8.181174514997334e-07	0.4018303737738778
b2183	2279788	2280483	-1	gene		2279788	0	P0AA43				0.017911945107084437			97.97475245616972	0.00021712558564336503	0.4018295556564263
PM0-10470	2280622	2280631	1	promoter	[b2184]	2280622	0					0.0			97.97475245616972	-8.181174514997334e-07	0.40204668124206966
b2184	2280632	2282392	1	gene		2280632	0	P33919				0.017911945107084437			97.9926644012768	-8.181174514997334e-07	0.40204586312461815
PM0-46360	2282440	2282516	1	promoter	[b2185]	2282440	0					0.0			97.9926644012768	-8.181174514997334e-07	0.40204504500716665
b2185	2282517	2282801	1	gene		2282517	0	P68919	50S ribosomal protein L25 OS=Escherichia coli (strain K12) GN=rplY PE=1 SV=1	rplY	Cytoplasm	0.35743788169105856	0.3402511257442551	0.3710273016588449	98.35010228296784	0.004406549504987084	0.40204422688971514
b2186	2282940	2283947	-1	gene		2282940	0	P33920	Nucleoid-associated protein YejK OS=Escherichia coli (strain K12) GN=yejK PE=1 SV=3	yejK	Cytoplasm	0.058632388333811326	0.05223765603962517	0.052010564782132285	98.40873467130164	0.00012844833380848126	0.40645077639470223
b2187	2284129	2284356	1	gene		2284129	0	P0AD24				0.017911945107084437			98.42664661640877	9.430628520234999e-05	0.4065792247285107
b2188	2284376	2286136	1	gene		2284376	0	P0AD27	Inner membrane protein yejM OS=Escherichia coli (strain K12) GN=yejM PE=1 SV=1	yejM	Cell inner membrane	0.002459873287903077	0.0026812100507486725	0.0032380034336980013	98.42910648969664	1.4566661805049057e-05	0.40667353101371306
PM00652	2286207	2286210	1	promoter	[b2189]	2286207	0					0.0			98.42910648969664	-8.181174514997334e-07	0.4066880976755181
b2189	2286211	2286287	1	gene		2286211	0					0.017911945107084437			98.44701843480374	-8.181174514997334e-07	0.4066872795580666
b2190	2286390	2290180	-1	gene		2286390	0	P33924				0.017911945107084437			98.46493037991085	-8.181174514997334e-07	0.4066864614406151
PM-8786	2288901	2289176	-1	promoter	[b2190]	2290180	1					0.0			98.46493037991085	-8.181174514997334e-07	0.4066856433231636
b2192	2289065	2290081	-1	gene		2290180	1	P0CE55				0.017911945107084437			98.48284232501793	-8.181174514997334e-07	0.4066848252057121
PM0-9713	2290422	2290499	1	promoter	[b2193]	2290422	0					0.0			98.48284232501793	-8.181174514997334e-07	0.4066840070882606
b2193	2290500	2291147	1	gene		2290500	0					0.017911945107084437			98.50075427012501	-8.181174514997334e-07	0.4066831889708091
b2194	2291358	2292410	-1	gene		2291358	0	P0ABM9				0.017911945107084437			98.51866621523209	-8.181174514997334e-07	0.40668237085335757
b2195	2292407	2292964	-1	gene		2292410	0	P0AA86				0.017911945107084437			98.53657816033919	-8.181174514997334e-07	0.40668155273590606
b2196	2292961	2294904	-1	gene		2292964	0	P33927				0.017911945107084437			98.55449010544626	-8.181174514997334e-07	0.40668073461845455
b2197	2294901	2295380	-1	gene		2294904	0	P69490				0.017911945107084437			98.57240205055336	1.3286923271762377e-05	0.40667991650100305
b2198	2295377	2295586	-1	gene		2295380	0	P0ABM5				0.017911945107084437			98.59031399566044	-8.181174514997334e-07	0.4066932034242748
b2199	2295583	2296320	-1	gene		2295586	0	P0ABM1				0.017911945107084437			98.60822594076751	-8.181174514997334e-07	0.4066923853068233
b2200	2296362	2297024	-1	gene		2296362	0	P0ABL8				0.017911945107084437			98.6261378858746	-8.181174514997334e-07	0.40669156718937177
b2201	2297021	2297644	-1	gene		2297024	0	P33931				0.017911945107084437			98.64404983098171	-8.181174514997334e-07	0.40669074907192027
b2202	2297657	2298259	-1	gene		2297657	0	P0ABL5				0.017911945107084437			98.66196177608879	-8.181174514997334e-07	0.40668993095446876
b2203	2298269	2298718	-1	gene		2298269	0	P0ABL3				0.017911945107084437			98.67987372119588	-8.181174514997334e-07	0.40668911283701725
b2204	2298715	2299578	-1	gene		2298718	0	P33934				0.017911945107084437			98.69778566630295	-8.181174514997334e-07	0.40668829471956575
b2205	2299565	2300260	-1	gene		2299578	0	P0AAL3				0.017911945107084437			98.71569761141005	-8.181174514997334e-07	0.40668747660211424
b2206	2300267	2302753	-1	gene		2300267	0	P33937				0.017911945107084437			98.73360955651714	-8.181174514997334e-07	0.40668665848466273
b2207	2302750	2303013	-1	gene		2302753	0	P0A9I5				0.017911945107084437			98.75152150162424	-8.181174514997334e-07	0.4066858403672112
b2208	2303003	2303497	-1	gene		2303013	0	P0AAL0				0.017911945107084437			98.76943344673131	-8.181174514997334e-07	0.4066850222497597
PM0-8920	2303498	2303695	-1	promoter	[b2202, b2203, b2204, b2205, b2206, b2207, b2208]	2303577	0					0.0			98.76943344673131	-8.181174514997334e-07	0.4066842041323082
PM444	2303498	2303577	-1	promoter	[b2194, b2195, b2196, b2197, b2198, b2199, b2200, b2201, b2202, b2203, b2204, b2205, b2206, b2207, b2208]	2303498	0					0.0			98.76943344673131	-8.181174514997334e-07	0.4066833860148567
b2209	2303905	2304393	1	gene		2303905	0	P23827	Ecotin OS=Escherichia coli (strain K12) GN=eco PE=1 SV=1	eco	Periplasm	0.005727723641853946	0.0069972741910920705	0.006468890126931842	98.77516117037315	-8.181174514997334e-07	0.4066825678974052
b2210	2305108	2306754	-1	gene		2305108	0	P33940	Malate:quinone oxidoreductase OS=Escherichia coli (strain K12) GN=mqo PE=1 SV=2	mqo	Cell inner membrane	0.014410399690835752	0.016623174651375073	0.014624590345900029	98.789571570064	4.716875220718245e-05	0.4066817497799537
b2211	2306972	2308615	-1	gene		2306972	0	P33941	ABC transporter ATP-binding protein YojI OS=Escherichia coli (strain K12) GN=yojI PE=1 SV=2	yojI	Cell inner membrane	0.0008403789512972402	0.00018332315487775477	0.0002492489164195525	98.7904119490153	1.4329823581977433e-05	0.40672891853216087
PM0-10338	2308616	2308641	-1	promoter	[b2211]	2308616	0					0.0			98.7904119490153	-8.181174514997334e-07	0.4067432483557428
b2212	2308691	2309341	-1	gene		2308691	0	P05050				0.017911945107084437			98.80832389412237	-8.181174514997334e-07	0.4067424302382913
b2213	2309341	2310405	-1	gene		2309341	0	P06134				0.017911945107084437			98.82623583922948	-8.181174514997334e-07	0.4067416121208398
PM00135	2309342	2309445	-1	promoter	[b2212]	2310405	1					0.0			98.82623583922948	-8.181174514997334e-07	0.4067407940033883
PM00101	2310406	2310427	-1	promoter	[b2212, b2213]	2310406	0					0.0			98.82623583922948	-8.181174514997334e-07	0.4067399758859368
b2214	2310479	2311534	-1	gene		2310479	0	P0AB85				0.017911945107084437			98.84414778433657	-8.181174514997334e-07	0.4067391577684853
b2215	2311646	2312749	-1	gene		2311646	0	P06996	Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1	ompC	Cell outer membrane	2.2512807007236084	2.11053412195786	2.389134771930076	101.09542848506015	0.00011275800131184692	0.4067383396510338
PM00630	2312750	2312887	-1	promoter	[b2215]	2312750	0					0.0			101.09542848506015	-8.181174514997334e-07	0.4068510976523456
PM00401	2313084	2313083	1	promoter	[b4439]	2313084	1					0.0			101.09542848506015	-8.181174514997334e-07	0.4068502795348941
b4439	2313084	2313176	1	gene		2313084	0					0.017911945107084437			101.11334043016727	-8.181174514997334e-07	0.4068494614174426
PM0-36140	2313452	2313487	1	promoter	[b2217, b2216]	2313452	0					0.0			101.11334043016727	-8.181174514997334e-07	0.4068486432999911
b2216	2313488	2316160	1	gene		2313488	0					0.017911945107084437			101.13125237527436	-8.181174514997334e-07	0.4068478251825396
PM0-36142	2315695	2316176	1	promoter	[b2217]	2316160	0					0.0			101.13125237527436	-8.181174514997334e-07	0.4068470070650881
b2217	2316177	2316827	1	gene		2316177	0					0.017911945107084437			101.14916432038143	-8.181174514997334e-07	0.4068461889476366
b2218	2317027	2319876	-1	gene		2317027	0					0.017911945107084437			101.1670762654885	-8.181174514997334e-07	0.40684537083018507
b2219	2320043	2321869	1	gene		2320043	0	Q06067				0.017911945107084437			101.18498821059559	-8.181174514997334e-07	0.40684455271273356
b2220	2321866	2323251	1	gene		2321869	0					0.017911945107084437			101.20290015570271	-8.181174514997334e-07	0.40684373459528206
PM00155	2323412	2323446	1	promoter	[b2224, b2221, b2222, b2223]	2323412	0					0.0			101.20290015570271	-8.181174514997334e-07	0.40684291647783055
b2221	2323447	2324109	1	gene		2323447	0	P76458				0.017911945107084437			101.22081210080978	-8.181174514997334e-07	0.40684209836037905
b2222	2324109	2324759	1	gene		2324109	0	P76459				0.017911945107084437			101.23872404591688	-8.181174514997334e-07	0.40684128024292754
b2223	2324756	2326078	1	gene		2324759	0	P76460				0.017911945107084437			101.25663599102396	1.055791607981845e-05	0.40684046212547603
b2224	2326109	2327293	1	gene		2326109	0	P76461				0.017911945107084437			101.27454793613104	-8.181174514997334e-07	0.4068510200415559
b2225	2327367	2328143	-1	gene		2327367	0	P76462				0.017911945107084437			101.29245988123812	-8.181174514997334e-07	0.40685020192410437
b2226	2328148	2329797	-1	gene		2328148	0	P76463				0.017911945107084437			101.31037182634522	-8.181174514997334e-07	0.40684938380665286
b4500	2329798	2334402	-1	gene		2329798	0					0.017911945107084437			101.32828377145229	-8.181174514997334e-07	0.40684856568920136
b2229	2334336	2334959	-1	gene		2334402	0	P76466				0.017911945107084437			101.34619571655941	-8.181174514997334e-07	0.40684774757174985
b2230	2334956	2336644	-1	gene		2334959	0	P17994				0.017911945107084437			101.3641076616665	-8.181174514997334e-07	0.40684692945429834
b2231	2336793	2339420	-1	gene		2336793	0	P0AES4	DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1	gyrA	Cytoplasm	0.1199042763656556	0.13169639689960322	0.1207310571819943	101.48401193803213	0.0003154018795383648	0.40684611133684684
PM00192	2339421	2339457	-1	promoter	[b2231]	2339421	0					0.0			101.48401193803213	-8.181174514997334e-07	0.4071615132163852
PM00169	2339539	2339566	1	promoter	[b2232]	2339539	0					0.0			101.48401193803213	-8.181174514997334e-07	0.4071606950989337
b2232	2339567	2340289	1	gene		2339567	0	P17993				0.017911945107084437			101.50192388313923	0.0004104190782544931	0.4071598769814822
b2233	2340417	2344169	-1	gene		2340417	0	P45508				0.017911945107084437			101.5198358282463	-8.181174514997334e-07	0.4075702960597367
PM00063	2344755	2344864	1	promoter	[b2236, b2234, b2235]	2344755	0					0.0			101.5198358282463	-8.181174514997334e-07	0.4075694779422852
b2234	2344865	2347150	1	gene		2344865	0	P00452				0.017911945107084437			101.5377477733534	0.00022674596855855192	0.4075686598248337
b2235	2347384	2348514	1	gene		2347384	0	P69924	Ribonucleoside-diphosphate reductase 1 subunit beta OS=Escherichia coli (strain K12) GN=nrdB PE=1 SV=2	nrdB	Cytoplasm	0.02766549043183697	0.03551886718038922	0.0324316090371675	101.56541326378523	0.00023641216317518406	0.40779540579339224
b2236	2348514	2348768	1	gene		2348514	0	P0ABW3				0.017911945107084437			101.5833252088923	-8.181174514997334e-07	0.4080318179565674
b2237	2348822	2349472	-1	gene		2348822	0	P27294				0.017911945107084437			101.60123715399942	-8.181174514997334e-07	0.4080309998391159
PM0-2021	2349473	2349499	-1	promoter	[b2237]	2349473	0					0.0			101.60123715399942	-8.181174514997334e-07	0.4080301817216644
b2238	2349651	2349893	1	gene		2349651	0	P45505				0.017911945107084437			101.61914909910652	-8.181174514997334e-07	0.4080293636042129
b2239	2349935	2351011	-1	gene		2349935	0	P09394	Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=glpQ PE=1 SV=2	glpQ	Periplasm	0.011123778576303091	0.012295946988555892	0.0105805800622939	101.6302728776828	0.0002847974429453838	0.4080285454867614
b2240	2351016	2352374	-1	gene		2351016	0	P08194	Glycerol-3-phosphate transporter OS=Escherichia coli (strain K12) GN=glpT PE=1 SV=1	glpT	Cell inner membrane	0.0034861361635961517	0.0062189249055295435	0.004459477975648844	101.63375901384642	-8.181174514997334e-07	0.4083133429297068
PM00039	2352375	2352451	-1	promoter	[b2239, b2240]	2352375	0					0.0			101.63375901384642	-8.181174514997334e-07	0.4083125248122553
PM00037	2352583	2352646	1	promoter	[b2241, b2242, b2243]	2352583	0					0.0			101.63375901384642	-8.181174514997334e-07	0.40831170669480377
b2241	2352647	2354275	1	gene		2352647	0	P0A9C0	Anaerobic glycerol-3-phosphate dehydrogenase subunit A OS=Escherichia coli (strain K12) GN=glpA PE=1 SV=1	glpA	Cell inner membrane	0.0012633474737419124	0.0013914826459396619	0.0015092298869101585	101.63502236132015	-8.181174514997334e-07	0.40831088857735226
b2242	2354265	2355524	1	gene		2354275	0	P13033	Anaerobic glycerol-3-phosphate dehydrogenase subunit B OS=Escherichia coli (strain K12) GN=glpB PE=1 SV=1	glpB	Cell inner membrane	0.00043502321662349983	0.00027061990362170886	0.00016799478968780967	101.63545738453678	-8.181174514997334e-07	0.40831007045990075
b2243	2355521	2356711	1	gene		2355524	0	P0A996	Anaerobic glycerol-3-phosphate dehydrogenase subunit C OS=Escherichia coli (strain K12) GN=glpC PE=1 SV=1	glpC	Cell inner membrane	4.7190820430095996e-07	1.236021474332896e-05	4.7340150573676826e-07	101.635457856445	-8.181174514997334e-07	0.40830925234244925
b2244	2356904	2357803	1	gene		2356904	0	P37014				0.017911945107084437			101.65336980155209	-8.181174514997334e-07	0.40830843422499774
b4543	2357804	2358001	1	gene		2357804	0					0.017911945107084437			101.67128174665916	-8.181174514997334e-07	0.40830761610754623
b2245	2358042	2358845	-1	gene		2358042	0	P76469				0.017911945107084437			101.68919369176625	-8.181174514997334e-07	0.4083067979900947
b2246	2358863	2360152	-1	gene		2358863	0	P76470				0.017911945107084437			101.70710563687334	-8.181174514997334e-07	0.4083059798726432
b2247	2360209	2361414	-1	gene		2360209	0	P77215				0.017911945107084437			101.72501758198042	-8.181174514997334e-07	0.4083051617551917
b2248	2361429	2362211	-1	gene		2361429	0	P77732				0.017911945107084437			101.74292952708751	-8.181174514997334e-07	0.4083043436377402
b2249	2362431	2363633	-1	gene		2362431	0	P77808				0.017911945107084437			101.7608414721946	4.0932938373292095e-05	0.4083035255202887
PM0-10085	2363634	2363655	-1	promoter	[b2249]	2363634	0					0.0			101.7608414721946	-8.181174514997334e-07	0.408344458458662
b2250	2363733	2364275	-1	gene		2363733	0	P76471				0.017911945107084437			101.77875341730169	-8.181174514997334e-07	0.4083436403412105
b2251	2364554	2364979	1	gene		2364554	0	P52006				0.017911945107084437			101.79666536240877	-8.181174514997334e-07	0.408342822223759
b2252	2365018	2365620	-1	gene		2365018	0	P45565				0.017911945107084437			101.81457730751585	-8.181174514997334e-07	0.4083420041063075
b2253	2365928	2367067	1	gene		2365928	0	P77690				0.017911945107084437			101.83248925262295	-8.181174514997334e-07	0.408341185988856
b2254	2367071	2368039	1	gene		2367071	0	P77757				0.017911945107084437			101.85040119773005	1.3286923271762377e-05	0.4083403678714045
b2255	2368039	2370021	1	gene		2368039	0	P77398				0.017911945107084437			101.86831314283712	1.5994376424146604e-06	0.4083536547946762
b2256	2370018	2370908	1	gene		2370021	0	P76472				0.017911945107084437			101.8862250879442	-8.181174514997334e-07	0.40835525423231867
b2257	2370908	2372560	1	gene		2370908	0	P76473				0.017911945107084437			101.9041370330513	-8.181174514997334e-07	0.40835443611486716
b4544	2372557	2372892	1	gene		2372560	0	Q47377				0.017911945107084437			101.9220489781584	-8.181174514997334e-07	0.40835361799741565
b2258	2372892	2373278	1	gene		2372892	0	P76474				0.017911945107084437			101.93996092326547	-8.181174514997334e-07	0.40835279987996415
b2259	2373272	2373538	-1	gene		2373278	0	P37590				0.017911945107084437			101.95787286837256	0.0004893436432932128	0.40835198176251264
b2260	2373648	2375003	-1	gene		2373648	0	P37353				0.017911945107084437			101.97578481347963	-8.181174514997334e-07	0.40884132540580587
b2261	2375000	2375962	-1	gene		2375003	0	P29208				0.017911945107084437			101.99369675858674	7.881378905475927e-06	0.40884050728835436
b2262	2375962	2376819	-1	gene		2375962	0	P0ABU0				0.017911945107084437			102.01160870369381	0.00021743204471624282	0.4088483886672598
b2263	2376834	2377592	-1	gene		2376834	0	P37355				0.017911945107084437			102.02952064880093	-8.181174514997334e-07	0.40906582071197606
b2264	2377589	2379259	-1	gene		2377592	0	P17109				0.017911945107084437			102.047432593908	-8.181174514997334e-07	0.40906500259452455
b2265	2379348	2380643	-1	gene		2379348	0	P38051				0.017911945107084437			102.06534453901509	4.579012926834687e-06	0.40906418447707305
b2266	2380722	2381027	-1	gene		2380722	0	P0AEH5	Protein elaB OS=Escherichia coli (strain K12) GN=elaB PE=1 SV=1	elaB	Cell inner membrane	0.13591148241132414	0.11570077497348065	0.14798366180492598	102.20125602142643	0.0020667253533062048	0.4090687634899999
b2267	2381082	2381543	-1	gene		2381082	0	P0AEH3				0.017911945107084437			102.2191679665335	3.9061801666191476e-05	0.4111354888433061
b2268	2381608	2382525	1	gene		2381608	0	P0A8V0				0.017911945107084437			102.23707991164059	4.557062309450133e-06	0.41117455064497227
b2269	2382713	2383924	1	gene		2382713	0	Q47013				0.017911945107084437			102.25499185674768	-8.181174514997334e-07	0.4111791077072817
b2270	2383995	2385722	-1	gene		2383995	0	P76481				0.017911945107084437			102.27290380185477	-8.181174514997334e-07	0.4111782895898302
b2271	2385860	2386831	1	gene		2385860	0	P76482				0.017911945107084437			102.29081574696184	-8.181174514997334e-07	0.4111774714723787
b2272	2386934	2387437	1	gene		2386934	0	P76483				0.017911945107084437			102.30872769206894	-8.181174514997334e-07	0.4111766533549272
b2273	2387710	2388426	-1	gene		2387710	0	P76484				0.017911945107084437			102.32663963717606	-8.181174514997334e-07	0.4111758352374757
b2274	2388635	2389057	1	gene		2388635	0	P76485				0.017911945107084437			102.34455158228313	-8.181174514997334e-07	0.4111750171200242
b2275	2389116	2389964	1	gene		2389116	0	P76486				0.017911945107084437			102.36246352739019	-8.181174514997334e-07	0.4111741990025727
b2276	2390048	2391505	-1	gene		2390048	0	P0AFF0	NADH-quinone oxidoreductase subunit N OS=Escherichia coli (strain K12) GN=nuoN PE=1 SV=2	nuoN	Cell inner membrane	0.0030142302092640108	0.001730255657086404	0.0009269863933107264	102.36547775759945	-8.181174514997334e-07	0.4111733808851212
b2277	2391512	2393041	-1	gene		2391512	0	P0AFE8	NADH-quinone oxidoreductase subunit M OS=Escherichia coli (strain K12) GN=nuoM PE=1 SV=1	nuoM	Cell inner membrane	0.000934342631568844	0.0006660691492320789	0.0010814972866277806	102.36641210023106	-8.181174514997334e-07	0.41117256276766967
b2278	2393205	2395046	-1	gene		2393205	0	P33607	NADH-quinone oxidoreductase subunit L OS=Escherichia coli (strain K12) GN=nuoL PE=1 SV=2	nuoL	Cell inner membrane	0.00022079699891941107	0.000205347821201874	0.00015948596792681485	102.36663289722996	1.3286923271762377e-05	0.41117174465021816
b2279	2395043	2395345	-1	gene		2395046	0	P0AFE4	NADH-quinone oxidoreductase subunit K OS=Escherichia coli (strain K12) GN=nuoK PE=1 SV=1	nuoK	Cell inner membrane	0.004122588897346009	0.003635348753441401	0.004420252932209964	102.3707554861273	0.0002473286712978785	0.4111850315734899
b2280	2395342	2395896	-1	gene		2395345	0	P0AFE0				0.017911945107084437			102.38866743123438	-8.181174514997334e-07	0.4114323602447878
b2281	2395908	2396450	-1	gene		2395908	0	P0AFD6	NADH-quinone oxidoreductase subunit I OS=Escherichia coli (strain K12) GN=nuoI PE=1 SV=1	nuoI	Cell inner membrane	0.009718128397275034	0.01001631726885322	0.011107737138695256	102.39838555963165	0.00010430681704981841	0.4114315421273363
b2282	2396465	2397442	-1	gene		2396465	0	P0AFD4	NADH-quinone oxidoreductase subunit H OS=Escherichia coli (strain K12) GN=nuoH PE=1 SV=1	nuoH	Cell inner membrane	0.006556865748704775	0.007988505156629574	0.007982878027302154	102.40494242538037	7.637750661265001e-06	0.4115358489443861
b2283	2397439	2400165	-1	gene		2397442	0	P33602	NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4	nuoG	Cytoplasm	0.16651676344359853	0.15535165724383065	0.14924445068762093	102.57145918882395	0.00027410415621300835	0.41154348669504737
b2284	2400218	2401555	-1	gene		2400218	0	P31979	NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3	nuoF	Cell inner membrane	0.03485874112343878	0.032168499843152835	0.030903387644259463	102.60631792994741	0.00021261238815249798	0.41181759085126035
b2285	2401552	2402052	-1	gene		2401555	0	P0AFD1	NADH-quinone oxidoreductase subunit E OS=Escherichia coli (strain K12) GN=nuoE PE=1 SV=1	nuoE	Cell inner membrane	0.023028451273976368	0.0233409283477097	0.023051746012883026	102.62934638122137	0.0001820535265774134	0.41203020323941286
b2286	2402055	2403845	-1	gene		2402055	0	P33599	NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3	nuoC	Cytoplasm	0.10631755650512884	0.10543758748064692	0.10587916733148373	102.73566393772651	0.00016841875552522665	0.41221225676599027
b2287	2403951	2404613	-1	gene		2403951	0	P0AFC7	NADH-quinone oxidoreductase subunit B OS=Escherichia coli (strain K12) GN=nuoB PE=1 SV=1	nuoB	Cell inner membrane	0.01268200327353644	0.01225672277106314	0.013891107912316672	102.74834594100004	0.00013374600310106884	0.41238067552151547
b2288	2404629	2405072	-1	gene		2404629	0	P0AFC3	NADH-quinone oxidoreductase subunit A OS=Escherichia coli (strain K12) GN=nuoA PE=3 SV=1	nuoA	Cell inner membrane	0.012580091550256509	0.011659685984155009	0.011909418611488138	102.76092603255032	0.00011392206686344581	0.41251442152461654
PM00593	2405073	2405335	-1	promoter	[b2276, b2277, b2278, b2279, b2280, b2281, b2282, b2283, b2284, b2285, b2286, b2287, b2288]	2405073	0					0.0			102.76092603255032	-8.181174514997334e-07	0.41262834359148
b2289	2405703	2406641	-1	gene		2405703	0	P36771				0.017911945107084437			102.77883797765742	-8.181174514997334e-07	0.4126275254740285
PM00576	2406642	2406656	-1	promoter	[b2289]	2406642	0					0.0			102.77883797765742	-8.181174514997334e-07	0.41262670735657697
PM0-45322	2407408	2407560	1	promoter	[b2290]	2407408	0					0.0			102.77883797765742	-8.181174514997334e-07	0.41262588923912547
b2290	2407561	2408778	1	gene		2407561	0	P0A959	Uncharacterized aminotransferase YfbQ OS=Escherichia coli (strain K12) GN=yfbQ PE=1 SV=1	alaA	Cytoplasm	0.006841708208678369	0.007586470437449402	0.008410490371259946	102.78567968586607	7.650431142091516e-05	0.41262507112167396
PM0-45323	2408831	2408861	1	promoter	[b2291]	2408831	0					0.0			102.78567968586607	-8.181174514997334e-07	0.4127015754330949
b2291	2408862	2409461	1	gene		2408862	0	P76491	5'-nucleotidase yfbR OS=Escherichia coli (strain K12) GN=yfbR PE=1 SV=1	yfbR	Cytoplasm	0.002207734061489748	0.001934769927900584	0.002472487466519383	102.78788741992756	2.7111512397011724e-05	0.4127007573156434
b2292	2409520	2411352	-1	gene		2409520	0	P0AFU2				0.017911945107084437			102.80579936503466	-8.181174514997334e-07	0.4127278688280404
b2293	2411439	2412089	-1	gene		2411439	0	P77625				0.017911945107084437			102.82371131014177	7.80148396144223e-05	0.4127270507105889
b2294	2412100	2412594	-1	gene		2412100	0	P0A8W8				0.017911945107084437			102.84162325524885	0.0004420285664441968	0.41280506555020335
PM0-46328	2412595	2412594	-1	promoter	[b2294, b2293]	2412595	1					0.0			102.84162325524885	-8.181174514997334e-07	0.41324709411664756
b2295	2412677	2413132	-1	gene		2412677	0	P0A8D9				0.017911945107084437			102.85953520035594	-8.181174514997334e-07	0.41324627599919606
PM00524	2413459	2413469	1	promoter	[b2296]	2413459	0					0.0			102.85953520035594	-8.181174514997334e-07	0.41324545788174455
b2296	2413470	2414672	1	gene		2413470	0	P0A6A3	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	ackA	Cytoplasm	0.2136335072147248	0.21986248717186188	0.22280731091208447	103.07316870757064	0.000783144361805039	0.41324463976429304
b2297	2414747	2416891	1	gene		2414747	0	P0A9M8	Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2	pta	Cytoplasm	0.13438673787608196	0.14704333044767107	0.1471400406662526	103.20755544544672	0.0002898172251500195	0.4140277841260981
b2298	2417081	2418601	1	gene		2417081	0	P39263				0.017911945107084437			103.22546739055382	-8.181174514997334e-07	0.4143176013512481
b2299	2418634	2419176	-1	gene		2418634	0	P65556				0.017911945107084437			103.24337933566092	0.00028262173213174845	0.4143167832337966
b2300	2419234	2419788	-1	gene		2419234	0	P67095				0.017911945107084437			103.26129128076799	0.00036580883267302576	0.41459940496592834
b2301	2419841	2420485	-1	gene		2419841	0	P77544				0.017911945107084437			103.27920322587508	0.0001014854123069285	0.41496521379860135
b2302	2420621	2421268	1	gene		2420621	0	P77526				0.017911945107084437			103.29711517098215	-8.181174514997334e-07	0.4150666992109083
b2303	2421325	2421687	1	gene		2421325	0	P0AC19				0.017911945107084437			103.31502711608923	0.00029457784116320227	0.41506588109345677
b2304	2421708	2422601	1	gene		2421708	0	P77775				0.017911945107084437			103.33293906119634	3.6727816122494606e-05	0.41536045893462
b2305	2422649	2423539	-1	gene		2422649	0	P77768				0.017911945107084437			103.35085100630344	-8.181174514997334e-07	0.4153971867507425
b2306	2423736	2424509	-1	gene		2423736	0	P07109	Histidine transport ATP-binding protein HisP OS=Escherichia coli (strain K12) GN=hisP PE=1 SV=2	hisP	Cell inner membrane	0.006770902651963908	0.007094257852635255	0.0062550327511221296	103.35762190895541	2.031799724082088e-05	0.415396368633291
b2307	2424517	2425233	-1	gene		2424517	0	P0AEU3				0.017911945107084437			103.37553385406248	-8.181174514997334e-07	0.41541668663053183
b2308	2425230	2425916	-1	gene		2425233	0	P52094	Histidine transport system permease protein hisQ OS=Escherichia coli (strain K12) GN=hisQ PE=1 SV=2	hisQ	Cell inner membrane	0.0025838664884017897	0.004265493154039822	0.005026966982252646	103.37811772055088	-8.181174514997334e-07	0.4154158685130803
b2309	2426006	2426788	-1	gene		2426006	0	P0AEU0	Histidine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=hisJ PE=1 SV=1	hisJ	Periplasm	0.5154845195306245	0.4883414084039628	0.5082277735900385	103.89360224008152	0.0012402052969759177	0.4154150503956288
PM0-9577	2426789	2426837	-1	promoter	[b2306, b2307, b2308, b2309]	2426789	0					0.0			103.89360224008152	-8.181174514997334e-07	0.41665525569260475
b2310	2427009	2427791	-1	gene		2427009	0	P09551	Lysine-arginine-ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=argT PE=1 SV=3	argT	Periplasm	0.288095013909352	0.2690577100292668	0.286020571342277	104.18169725399088	0.0004960123899922697	0.41665443757515325
