gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	proteinMW	Copies/Cell_MG1655.Glucose	g/Protein	cumulativeAbudance
b2047	2120160	2121554	-1	gene		2120160	0	P71241					5809958.571344681	64105332128.823425
b2048	2121609	2122979	-1	gene		2121609	0	P24175					5809958.571344681	64111142087.39477
b2049	2123084	2124520	-1	gene		2123084	0	P24174					5809958.571344681	64116952045.96611
b2050	2124523	2125746	-1	gene		2124523	0	P32057					5809958.571344681	64122762004.53745
b2051	2125743	2126222	-1	gene		2125746	0	P32056					5809958.571344681	64128571963.108795
b2052	2126225	2127190	-1	gene		2126225	0	P32055					5809958.571344681	64134381921.68014
b2053	2127193	2128314	-1	gene		2127193	0	P0AC88					5809958.571344681	64140191880.25148
b2054	2128340	2128888	-1	gene		2128340	0	P0ACD2					5809958.571344681	64146001838.82282
b2055	2128904	2129650	-1	gene		2128904	0	P71239					5809958.571344681	64151811797.394165
b2056	2129661	2130878	-1	gene		2129661	0	P71238					5809958.571344681	64157621755.96551
b2057	2130853	2132070	-1	gene		2130878	0	P71237					5809958.571344681	64163431714.53685
b2058	2132067	2132555	-1	gene		2132070	0	P0ACC9					5809958.571344681	64169241673.10819
b2059	2132558	2133397	-1	gene		2132558	0	P77414					5809958.571344681	64175051631.679535
b2060	2133490	2135652	-1	gene		2133490	0	P76387	Tyrosine-protein kinase wzc OS=Escherichia coli (strain K12) GN=wzc PE=1 SV=2	wzc	79275.62271	0.6765273656339222	53632.12819098504	64175105263.807724
b2061	2135655	2136098	-1	gene		2135655	0	P0AAB2					5809958.571344681	64180915222.37907
b2062	2136104	2137243	-1	gene		2136104	0	P0A930					5809958.571344681	64186725180.95041
PM0-9693	2137194	2137243	-1	promoter	[b2062, b2060, b2061]	2137243	0						5809958.571344681	64192535139.52175
PM00291	2137244	2137583	-1	promoter	[b2058, b2059, b2060, b2061, b2062]	2137244	0						5809958.571344681	64198345098.093094
PM0-10077	2137863	2137901	1	promoter	[b2063]	2137863	0						5809958.571344681	64204155056.66444
b2063	2137902	2139485	1	gene		2137902	0	P76389					5809958.571344681	64209965015.23578
b2064	2139759	2141612	-1	gene		2139759	0	P28249	Protein AsmA OS=Escherichia coli (strain K12) GN=asmA PE=4 SV=2	asmA	68902.09792	13.151626116997466	906174.6305205888	64210871189.8663
b2065	2141634	2142215	-1	gene		2141634	0	P28248	Deoxycytidine triphosphate deaminase OS=Escherichia coli (strain K12) GN=dcd PE=1 SV=1	dcd	21217.97047	489.0514867068797	10376680.003256172	64221247869.86956
b2066	2142307	2142948	-1	gene		2142307	0	P0A8F4	Uridine kinase OS=Escherichia coli (strain K12) GN=udk PE=3 SV=1	udk	24319.5763	236.37107387191358	5748444.366140939	64226996314.2357
b2067	2143266	2146583	1	gene		2143266	0	P38097					5809958.571344681	64232806272.807045
b2068	2146692	2147540	-1	gene		2146692	0	P04395					5809958.571344681	64238616231.37839
PM00002	2147541	2147559	-1	promoter	[b2068]	2147541	0						5809958.571344681	64244426189.94973
b2069	2147674	2149026	1	gene		2147674	0	P36928	Uncharacterized chaperone protein yegD OS=Escherichia coli (strain K12) GN=yegD PE=3 SV=2	yegD	49322.42938	30.283696266217177	1493665.4704558665	64245919855.42019
b2070	2149039	2150985	-1	gene		2149039	0	P76393					5809958.571344681	64251729813.99153
b2071	2151185	2151646	1	gene		2151185	0	P76394					5809958.571344681	64257539772.562874
b2072	2151711	2152472	-1	gene		2151711	0	P76395					5809958.571344681	64263349731.13422
b2073	2152469	2153128	-1	gene		2152472	0	P76396					5809958.571344681	64269159689.70556
b4436	2153309	2153451	1	gene		2153309	0						5809958.571344681	64274969648.2769
PM0-10277	2153311	2153310	1	promoter	[b4436]	2153451	1						5809958.571344681	64280779606.84824
b4667	2153349	2153408	-1	gene		2153451	1	C1P607					5809958.571344681	64286589565.419586
b4437	2153644	2153779	1	gene		2153644	0						5809958.571344681	64292399523.99093
PM0-10281	2153646	2153645	1	promoter	[b4437]	2153779	1						5809958.571344681	64298209482.56227
b4668	2153681	2153737	-1	gene		2153779	1	C1P608					5809958.571344681	64304019441.13361
PM0-8261	2153979	2154015	1	promoter	[b2079, b2078, b2077, b2076, b2075, b2074]	2153979	0						5809958.571344681	64309829399.704956
b2074	2154016	2155263	1	gene		2154016	0	P76397	Multidrug resistance protein mdtA OS=Escherichia coli (strain K12) GN=mdtA PE=2 SV=2	mdtA	44419.35351	46.197668771341256	2052070.5804920946	64311881470.285446
b2075	2155263	2158385	1	gene		2155263	0	P76398					5809958.571344681	64317691428.85679
b2076	2158386	2161463	1	gene		2158386	0	P76399					5809958.571344681	64323501387.42813
b2077	2161464	2162879	1	gene		2161464	0	P36554					5809958.571344681	64329311345.99947
b2078	2162876	2164279	1	gene		2162879	0						5809958.571344681	64335121304.570816
b2079	2164276	2164998	1	gene		2164279	0	P69228	Transcriptional regulatory protein BaeR OS=Escherichia coli (strain K12) GN=baeR PE=3 SV=1	baeR	27620.56338	150.1699105890278	4147777.5331931757	64339269082.10401
b2080	2165189	2165521	1	gene		2165189	0	P76402	UPF0339 protein yegP OS=Escherichia coli (strain K12) GN=yegP PE=1 SV=2	yegP	11998.96227	6.0282020026764656	72332.16838605335	64339341414.2724
b2081	2165668	2167029	1	gene		2165668	0	P76403	Uncharacterized protease yegQ OS=Escherichia coli (strain K12) GN=yegQ PE=3 SV=1	yegQ	51142.48352	345.6047669208963	17675086.09668538	64357016500.36909
PM0-10223	2167114	2167113	1	promoter	[b4438]	2167114	1						5809958.571344681	64362826458.94043
b4438	2167114	2167200	1	gene		2167114	0						5809958.571344681	64368636417.51177
b2082	2167302	2167520	-1	gene		2167302	0	P37057					5809958.571344681	64374446376.083115
b2083	2167602	2167814	-1	gene		2167602	0						5809958.571344681	64380256334.65446
b2085	2167989	2168306	-1	gene		2167989	0	P76406					5809958.571344681	64386066293.2258
PM0-10331	2168307	2168349	-1	promoter	[b2083, b2085]	2168307	0						5809958.571344681	64391876251.79714
b2086	2168712	2169611	1	gene		2168712	0	P76407					5809958.571344681	64397686210.368484
b4498	2169693	2171727	-1	gene		2169693	0						5809958.571344681	64403496168.93983
b2088	2170236	2170535	1	gene		2171727	1	P0CF70					5809958.571344681	64409306127.51117
b2089	2170532	2171398	1	gene		2171727	1						5809958.571344681	64415116086.08251
b2091	2171833	2172873	-1	gene		2171833	0	P0A9S3	Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=3 SV=1	gatD	37348.25439	45.0016450558995	1680732.8875162203	64416796818.97003
b2092	2172921	2174278	-1	gene		2172921	0	P69831	Galactitol permease IIC component OS=Escherichia coli (strain K12) GN=gatC PE=1 SV=1	gatC	48315.16646	5.4919187596206696	265342.9690558694	64417062161.93909
b2093	2174282	2174566	-1	gene		2174282	0	P37188	Galactitol-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=gatB PE=1 SV=2	gatB	10197.27069	3668.1778480206813	37405402.45532857	64454467564.39442
b2094	2174597	2175049	-1	gene		2174597	0	P69828	Galactitol-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=gatA PE=4 SV=1	gatA	16878.77273	4952.020943490538	83584036.05937697	64538051600.4538
b2095	2175059	2176321	-1	gene		2175059	0	P0C8J8	D-tagatose-1,6-bisphosphate aldolase subunit gatZ OS=Escherichia coli (strain K12) GN=gatZ PE=1 SV=1	gatZ	47060.76941	771.0591553901894	36286637.11328706	64574338237.567085
PM0-10078	2176322	2176432	-1	promoter	[b2094, b2093, b2092, b2091, b2095]	2176322	0						5809958.571344681	64580148196.13843
b2096	2176350	2177204	-1	gene		2176432	0	P0C8J6	D-tagatose-1,6-bisphosphate aldolase subunit GatY OS=Escherichia coli (strain K12) GN=gatY PE=1 SV=1	gatY	30774.55511	5029.119895077739	154768927.3658673	64734917123.504295
PM00232	2177205	2177234	-1	promoter	[b2091, b2092, b2093, b2094, b2095, b2096]	2177205	0						5809958.571344681	64740727082.07564
b2097	2177512	2178564	-1	gene		2177512	0	P0A991	Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) GN=fbaB PE=1 SV=2	fbaB	38067.15999	701.3765671978274	26699413.99675668	64767426496.072395
PM0-8905	2178565	2178667	-1	promoter	[b2097]	2178565	0						5809958.571344681	64773236454.64374
PM0-10079	2178781	2178820	1	promoter	[b2100, b2099, b2098]	2178781	0						5809958.571344681	64779046413.21508
b2098	2178821	2180098	1	gene		2178821	0	P76417					5809958.571344681	64784856371.78642
b2099	2180095	2181099	1	gene		2180098	0	P76418					5809958.571344681	64790666330.357765
b2100	2181096	2182061	1	gene		2181099	0	P76419					5809958.571344681	64796476288.92911
b2101	2182035	2182781	-1	gene		2182061	0	P0ACM5					5809958.571344681	64802286247.50045
b2102	2182833	2183651	-1	gene		2182833	0	P76421					5809958.571344681	64808096206.07179
b2103	2183716	2184516	-1	gene		2183716	0	P76422	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase OS=Escherichia coli (strain K12) GN=thiD PE=1 SV=1	thiD	28597.62787	2.9365417347500093	83978.12775510502	64808180184.19955
b2104	2184513	2185301	-1	gene		2184516	0	P76423					5809958.571344681	64813990142.77089
PM0-10080	2185302	2185451	-1	promoter	[b2104, b2103]	2185302	0						5809958.571344681	64819800101.34223
b2105	2185524	2185796	-1	gene		2185524	0	P64530	Transcriptional repressor rcnR OS=Escherichia coli (strain K12) GN=rcnR PE=1 SV=1	rcnR	10109.49097	421.58653005589815	4262025.218673736	64824062126.560905
PM0-9621	2185797	2185903	-1	promoter	[b2105]	2185797	0						5809958.571344681	64829872085.13225
PM0-9620	2185827	2185916	1	promoter	[b2107, b2106]	2185903	0						5809958.571344681	64835682043.70359
b2106	2185917	2186741	1	gene		2185917	0	P76425					5809958.571344681	64841492002.27493
b2107	2186960	2187298	1	gene		2186960	0	P64534	Uncharacterized protein yohN OS=Escherichia coli (strain K12) GN=yohN PE=4 SV=1	yohN	12440.24192	500.6744782294817	6228511.632344525	64847720513.90728
b2108	2187380	2188414	-1	gene		2187380	0	P33340					5809958.571344681	64853530472.47862
b2109	2188430	2190910	-1	gene		2188430	0	P33341					5809958.571344681	64859340431.049965
b2110	2190926	2191645	-1	gene		2190926	0	P33342					5809958.571344681	64865150389.62131
b2111	2191680	2192222	-1	gene		2191680	0	P33343					5809958.571344681	64870960348.19265
b2112	2192515	2192796	-1	gene		2192515	0	P33344					5809958.571344681	64876770306.76399
b2113	2193059	2194168	-1	gene		2193059	0	P0AF08	Protein mrp OS=Escherichia coli (strain K12) GN=mrp PE=3 SV=1	mrp	39894.51587	1317.850285706812	52574999.13741445	64929345305.901405
PM0-46343	2193758	2194299	1	promoter	[b2114]	2194168	0						5809958.571344681	64935155264.47275
PM0-46342	2194169	2194203	-1	promoter	[b2113]	2194299	1						5809958.571344681	64940965223.04409
PM0-10081	2194269	2194299	1	promoter	[b2114]	2194299	0						5809958.571344681	64946775181.61543
b2114	2194300	2196333	1	gene		2194300	0	P00959	Methionyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2	metG	76188.10041	2151.916718630983	163950447.03301504	65110725628.648445
PM0-10	2196445	2196473	1	promoter	[b2115]	2196445	0						5809958.571344681	65116535587.21979
b4499	2196474	2200269	1	gene		2196474	0						5809958.571344681	65122345545.79113
b2118	2200279	2203911	1	gene		2200279	0	P33346					5809958.571344681	65128155504.36247
b4541	2203972	2204289	1	gene		2203972	0	P33347					5809958.571344681	65133965462.933815
b2119	2204596	2205684	1	gene		2204596	0	P33348					5809958.571344681	65139775421.50516
b2120	2205695	2207974	1	gene		2205695	0	P33349					5809958.571344681	65145585380.0765
b2121	2207967	2209103	1	gene		2207974	0	P33352					5809958.571344681	65151395338.64784
b2122	2209100	2211100	1	gene		2209103	0	P33353					5809958.571344681	65157205297.219185
b2123	2211225	2211686	1	gene		2211225	0	P33354					5809958.571344681	65163015255.79053
b2124	2211726	2212196	-1	gene		2211726	0	P33355	Uncharacterized protein yehS OS=Escherichia coli (strain K12) GN=yehS PE=4 SV=1	yehS	17943.51142	99.64088299334365	1787907.3218899455	65164803163.11242
b2125	2212243	2212962	-1	gene		2212243	0						5809958.571344681	65170613121.68376
b2126	2212959	2214644	-1	gene		2212962	0	P0AD14					5809958.571344681	65176423080.255104
PM0-36161	2214840	2214865	1	promoter	[b2127]	2214840	0						5809958.571344681	65182233038.82645
b2127	2214866	2215597	1	gene		2214866	0	P33358					5809958.571344681	65188042997.39779
b4542	2215657	2215764	1	gene		2215657	0	Q2EES6					5809958.571344681	65193852955.96913
b2128	2215745	2216476	-1	gene		2215764	0	P33359					5809958.571344681	65199662914.540474
b2129	2216481	2217407	-1	gene		2216481	0	P33360					5809958.571344681	65205472873.11182
b2130	2217400	2218557	-1	gene		2217407	0	P33361					5809958.571344681	65211282831.68316
b2131	2218564	2219481	-1	gene		2218564	0	P33362	Putative osmoprotectant uptake system substrate-binding protein osmF OS=Escherichia coli (strain K12) GN=osmF PE=2 SV=1	osmF	32571.10535	67.86438268405712	2210417.9579151403	65213493249.641075
PM0-5581	2219482	2219523	-1	promoter	[b2128, b2129, b2130, b2131]	2219482	0						5809958.571344681	65219303208.21242
b2132	2219692	2221989	-1	gene		2219692	0	P33363	Periplasmic beta-glucosidase OS=Escherichia coli (strain K12) GN=bglX PE=1 SV=2	bglX	83389.45193	206.14577506409364	17190383.20027983	65236493591.4127
PM0-7861	2221990	2222120	-1	promoter	[b2132]	2221990	0						5809958.571344681	65242303549.98404
b2133	2222185	2223900	1	gene		2222185	0	P06149	D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3	dld	64553.60212	215.62736304410606	13919523.000134015	65256223072.98418
b2134	2223938	2224870	-1	gene		2223938	0	P0AFI5	D-alanyl-D-alanine endopeptidase OS=Escherichia coli (strain K12) GN=pbpG PE=1 SV=2	pbpG	33847.68281	0.0037558698315212987	127.12749073298104	65256223200.111664
b2135	2225044	2225631	-1	gene		2225044	0	P0AD17					5809958.571344681	65262033158.68301
b2136	2225801	2226379	1	gene		2225801	0	P33366					5809958.571344681	65267843117.25435
b2137	2226509	2227270	-1	gene		2226509	0	P33368					5809958.571344681	65273653075.82569
b2139	2227323	2228758	-1	gene		2227323	0	P33369					5809958.571344681	65279463034.39703
b4679	2228982	2229065	1	gene		2228982	0	C1P609					5809958.571344681	65285272992.968376
b2140	2229438	2230385	-1	gene		2229438	0	P33371	tRNA-dihydrouridine synthase C OS=Escherichia coli (strain K12) GN=dusC PE=1 SV=1	dusC	35159.27201	3.338505023504614	117379.40622815017	65285390372.3746
PM0-36243	2230386	2230395	-1	promoter	[b2140]	2230386	0						5809958.571344681	65291200330.945946
PM0-36244	2230509	2230623	1	promoter	[b2142, b2141]	2230509	0						5809958.571344681	65297010289.51729
b2141	2230624	2231022	1	gene		2230624	0	P60632					5809958.571344681	65302820248.08863
b2142	2231019	2231714	1	gene		2231022	0	P0AD19					5809958.571344681	65308630206.65997
PM1001	2231819	2231843	1	promoter	[b2143]	2231819	0						5809958.571344681	65314440165.231316
b2143	2231844	2232728	1	gene		2231844	0	P0ABF6	Cytidine deaminase OS=Escherichia coli (strain K12) GN=cdd PE=1 SV=1	cdd	31501.89874	267.6345422452299	8430996.249135485	65322871161.48045
b2144	2232878	2233597	1	gene		2232878	0	P0AFY2					5809958.571344681	65328681120.051796
b2145	2233600	2233839	1	gene		2233600	0	P64536					5809958.571344681	65334491078.62314
PM0-10082	2233989	2234032	1	promoter	[b2147, b2146]	2233989	0						5809958.571344681	65340301037.19448
b2146	2234033	2235271	1	gene		2234033	0	P76440	Uncharacterized oxidoreductase yeiT OS=Escherichia coli (strain K12) GN=yeiT PE=4 SV=1	yeiT	44283.4691	0.450436571077565	19946.893976823307	65340320984.088455
b2147	2235265	2236500	1	gene		2235271	0	P25889					5809958.571344681	65346130942.6598
b2148	2236743	2237753	-1	gene		2236743	0	P23200	Galactoside transport system permease protein mglC OS=Escherichia coli (strain K12) GN=mglC PE=1 SV=1	mglC	35509.23597	0.4870255527067156	17293.905274482437	65346148236.56507
b2149	2237769	2239289	-1	gene		2237769	0	P0AAG8	Galactose/methyl galactoside import ATP-binding protein MglA OS=Escherichia coli (strain K12) GN=mglA PE=1 SV=1	mglA	56361.45375	8.128311331886776	458123.44319773745	65346606360.00827
PM0-8281	2239290	2239391	-1	promoter	[b2148, b2149]	2239290	0						5809958.571344681	65352416318.57961
b2150	2239350	2240348	-1	gene		2239391	0	P0AEE5	D-galactose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=mglB PE=1 SV=1	mglB	35672.35627	939.5566585140468	33516199.858363803	65385932518.43797
PM00231	2240349	2240566	-1	promoter	[b2148, b2149, b2150]	2240349	0						5809958.571344681	65391742477.009315
b2151	2240628	2241668	-1	gene		2240628	0	P25748					5809958.571344681	65397552435.58066
PM00031	2241669	2241710	-1	promoter	[b2151]	2241669	0						5809958.571344681	65403362394.152
b2152	2241810	2242967	-1	gene		2241810	0	P25747					5809958.571344681	65409172352.72334
b2153	2242984	2243652	-1	gene		2242984	0	P0A6T5	GTP cyclohydrolase 1 OS=Escherichia coli (strain K12) GN=folE PE=1 SV=2	folE	24796.90762	11676.833325888416	289549357.2761924	65698721709.999535
PM0-10286	2243653	2243848	-1	promoter	[b2153, b2152]	2243653	0						5809958.571344681	65704531668.57088
b2154	2243910	2244746	1	gene		2243910	0	P33018	S-formylglutathione hydrolase yeiG OS=Escherichia coli (strain K12) GN=yeiG PE=1 SV=1	yeiG	31221.06729	129.7719407755417	4051618.4953070823	65708583287.066185
b2155	2244778	2246769	-1	gene		2244778	0	P17315	Colicin I receptor OS=Escherichia coli (strain K12) GN=cirA PE=1 SV=2	cirA	73832.34947	489.7403618778264	36158681.54772794	65744741968.613914
PM00019	2246770	2246942	-1	promoter	[b2155]	2246770	0						5809958.571344681	65750551927.18526
b2156	2247063	2248532	-1	gene		2247063	0	P25737					5809958.571344681	65756361885.7566
PM340	2248533	2248560	-1	promoter	[b2156]	2248533	0						5809958.571344681	65762171844.32794
b2157	2248737	2249618	-1	gene		2248737	0	P0ACR4	Uncharacterized HTH-type transcriptional regulator yeiE OS=Escherichia coli (strain K12) GN=yeiE PE=4 SV=1	yeiE	32685.2267	35.329170875963776	1154741.9592039136	65763326586.28715
b2158	2249717	2250766	1	gene		2249717	0	P62723					5809958.571344681	65769136544.85849
PM00264	2250806	2250839	1	promoter	[b2159]	2250806	0						5809958.571344681	65774946503.42983
b2159	2250840	2251697	1	gene		2250840	0	P0A6C1	Endonuclease 4 OS=Escherichia coli (strain K12) GN=nfo PE=1 SV=1	nfo	31441.66786	212.65030773448788	6686080.346114557	65781632583.77595
b2160	2251700	2252788	1	gene		2251700	0	P33020					5809958.571344681	65787442542.34729
b2161	2252895	2254145	-1	gene		2252895	0	P33021					5809958.571344681	65793252500.91863
b2162	2254245	2255186	-1	gene		2254245	0	P33022					5809958.571344681	65799062459.489975
PM1022	2255187	2255252	-1	promoter	[b2162]	2255187	0						5809958.571344681	65804872418.06132
PM1021	2255290	2255354	1	promoter	[b2163]	2255290	0						5809958.571344681	65810682376.63266
b2163	2255355	2256014	1	gene		2255355	0	P0A9E9					5809958.571344681	65816492335.204
b2164	2256085	2257335	-1	gene		2256085	0	P33024					5809958.571344681	65822302293.775345
b2165	2257429	2258367	-1	gene		2257429	0	P33025	Pseudouridine-5'-phosphate glycosidase OS=Escherichia coli (strain K12) GN=psuG PE=1 SV=1	psuG	32871.36329	8.57173142493322	281764.4976932893	65822584058.27304
b2166	2258355	2259296	-1	gene		2258367	0	P30235					5809958.571344681	65828394016.84438
b2167	2259719	2261410	-1	gene		2259719	0	P20966	PTS system fructose-specific EIIBC component OS=Escherichia coli (strain K12) GN=fruA PE=4 SV=1	fruA	57463.64429	14.256793340032216	819247.3012076522	65829213264.14559
b2168	2261427	2262365	-1	gene		2261427	0	P0AEW9	1-phosphofructokinase OS=Escherichia coli (strain K12) GN=fruK PE=3 SV=1	fruK	33716.33963	47.84856365865705	1613278.4231229567	65830826542.56872
b2169	2262365	2263495	-1	gene		2262365	0						5809958.571344681	65836636501.14006
PM00221	2263496	2263597	-1	promoter	[b2167, b2168, b2169]	2263496	0						5809958.571344681	65842446459.7114
b2170	2263863	2265044	1	gene		2263863	0	P33026					5809958.571344681	65848256418.282745
b4502	2265041	2265295	-1	gene		2265044	0	P0AFT8					5809958.571344681	65854066376.85409
PM0-36245	2265296	2265330	-1	promoter	[b4502]	2265296	0						5809958.571344681	65859876335.42543
PM0-36246	2265417	2265449	1	promoter	[b2171]	2265417	0						5809958.571344681	65865686293.99677
b2171	2265450	2266022	1	gene		2265450	0	P0A6N8	Elongation factor P-like protein OS=Escherichia coli (strain K12) GN=yeiP PE=1 SV=1	yeiP	21500.97054	3227.2242994952644	69388454.58941981	65935074748.58619
b2172	2266245	2267711	1	gene		2266245	0	P33029					5809958.571344681	65940884707.15753
b2173	2267829	2268815	1	gene		2267829	0	P33030	Uncharacterized protein YeiR OS=Escherichia coli (strain K12) GN=yeiR PE=3 SV=2	yeiR	36072.87079	96.05465585285482	3464967.1893579494	65944349674.34689
b2174	2268854	2269567	1	gene		2268854	0	P76445	Inner membrane protein yeiU OS=Escherichia coli (strain K12) GN=yeiU PE=1 SV=2	yeiU	26723.51423	92.07167818399482	2460478.802129966	65946810153.149025
PM0-46320	2269811	2269978	1	promoter	[b2175]	2269811	0						5809958.571344681	65952620111.72037
b2175	2269979	2270545	1	gene		2269979	0	P0AFV4	Lipoprotein spr OS=Escherichia coli (strain K12) GN=spr PE=1 SV=1	spr	21008.75296	1232.5903599283083	25895186.372611314	65978515298.09298
b2176	2270726	2272282	1	gene		2270726	0	P76446					5809958.571344681	65984325256.66432
b2177	2272364	2274178	1	gene		2272364	0	P33913					5809958.571344681	65990135215.235664
b2178	2274179	2275273	1	gene		2274179	0	P0AFU0					5809958.571344681	65995945173.80701
b2179	2275273	2276298	1	gene		2275273	0	P33915					5809958.571344681	66001755132.37835
b2180	2276300	2277889	1	gene		2276300	0	P33916	Uncharacterized ABC transporter ATP-binding protein YejF OS=Escherichia coli (strain K12) GN=yejF PE=3 SV=1	yejF	58671.55449	0.44511447633751555	26115.55825272436	66001781247.9366
b2181	2277893	2278237	-1	gene		2277893	0	P0AD21					5809958.571344681	66007591206.50794
PM0-46319	2278238	2278397	-1	promoter	[b2181]	2278238	0						5809958.571344681	66013401165.079285
b2182	2278570	2279760	-1	gene		2278570	0	P28246					5809958.571344681	66019211123.65063
b2183	2279788	2280483	-1	gene		2279788	0	P0AA43	Ribosomal small subunit pseudouridine synthase A OS=Escherichia coli (strain K12) GN=rsuA PE=1 SV=1	rsuA	25831.22795	1199.3091318879815	30979627.568315063	66050190751.21894
PM0-10470	2280622	2280631	1	promoter	[b2184]	2280622	0						5809958.571344681	66056000709.79028
b2184	2280632	2282392	1	gene		2280632	0	P33919					5809958.571344681	66061810668.361626
PM0-46360	2282440	2282516	1	promoter	[b2185]	2282440	0						5809958.571344681	66067620626.93297
b2185	2282517	2282801	1	gene		2282517	0	P68919	50S ribosomal protein L25 OS=Escherichia coli (strain K12) GN=rplY PE=1 SV=1	rplY	10668.70954	22536.068211833677	240430765.9256807	66308051392.85865
b2186	2282940	2283947	-1	gene		2282940	0	P33920	Nucleoid-associated protein YejK OS=Escherichia coli (strain K12) GN=yejK PE=1 SV=3	yejK	37781.14933	1016.4578969784104	38402947.59339908	66346454340.45205
b2187	2284129	2284356	1	gene		2284129	0	P0AD24	UPF0352 protein yejL OS=Escherichia coli (strain K12) GN=yejL PE=1 SV=1	yejL	8265.27759	307.41756879639115	2540891.542145095	66348995231.994194
b2188	2284376	2286136	1	gene		2284376	0	P0AD27	Inner membrane protein yejM OS=Escherichia coli (strain K12) GN=yejM PE=1 SV=1	yejM	67235.66157	4.325504531240152	290828.15878196433	66349286060.15298
PM00652	2286207	2286210	1	promoter	[b2189]	2286207	0						5809958.571344681	66355096018.72432
b2189	2286211	2286287	1	gene		2286211	0						5809958.571344681	66360905977.29566
b2190	2286390	2290180	-1	gene		2286390	0	P33924					5809958.571344681	66366715935.867004
PM-8786	2288901	2289176	-1	promoter	[b2190]	2290180	1						5809958.571344681	66372525894.43835
b2192	2289065	2290081	-1	gene		2290180	1	P0CE55					5809958.571344681	66378335853.00969
PM0-9713	2290422	2290499	1	promoter	[b2193]	2290422	0						5809958.571344681	66384145811.58103
b2193	2290500	2291147	1	gene		2290500	0						5809958.571344681	66389955770.152374
b2194	2291358	2292410	-1	gene		2291358	0	P0ABM9					5809958.571344681	66395765728.72372
b2195	2292407	2292964	-1	gene		2292410	0	P0AA86					5809958.571344681	66401575687.29506
b2196	2292961	2294904	-1	gene		2292964	0	P33927					5809958.571344681	66407385645.8664
b2197	2294901	2295380	-1	gene		2294904	0	P69490	Cytochrome c-type biogenesis protein CcmE OS=Escherichia coli (strain K12) GN=ccmE PE=1 SV=1	ccmE	17669.15683	22.13253150727055	391063.1702468796	66407776709.03665
b2198	2295377	2295586	-1	gene		2295380	0	P0ABM5					5809958.571344681	66413586667.607994
b2199	2295583	2296320	-1	gene		2295586	0	P0ABM1					5809958.571344681	66419396626.17934
b2200	2296362	2297024	-1	gene		2296362	0	P0ABL8					5809958.571344681	66425206584.75068
b2201	2297021	2297644	-1	gene		2297024	0	P33931					5809958.571344681	66431016543.32202
b2202	2297657	2298259	-1	gene		2297657	0	P0ABL5					5809958.571344681	66436826501.893364
b2203	2298269	2298718	-1	gene		2298269	0	P0ABL3					5809958.571344681	66442636460.46471
b2204	2298715	2299578	-1	gene		2298718	0	P33934					5809958.571344681	66448446419.03605
b2205	2299565	2300260	-1	gene		2299578	0	P0AAL3					5809958.571344681	66454256377.60739
b2206	2300267	2302753	-1	gene		2300267	0	P33937					5809958.571344681	66460066336.178734
b2207	2302750	2303013	-1	gene		2302753	0	P0A9I5					5809958.571344681	66465876294.75008
b2208	2303003	2303497	-1	gene		2303013	0	P0AAL0					5809958.571344681	66471686253.32142
PM444	2303498	2303577	-1	promoter	[b2194, b2195, b2196, b2197, b2198, b2199, b2200, b2201, b2202, b2203, b2204, b2205, b2206, b2207, b2208]	2303498	0						5809958.571344681	66477496211.89276
PM0-8920	2303498	2303695	-1	promoter	[b2202, b2203, b2204, b2205, b2206, b2207, b2208]	2303577	0						5809958.571344681	66483306170.4641
b2209	2303905	2304393	1	gene		2303905	0	P23827	Ecotin OS=Escherichia coli (strain K12) GN=eco PE=1 SV=1	eco	18162.39088	65.56595989895413	1190834.5921072103	66484497005.05621
b2210	2305108	2306754	-1	gene		2305108	0	P33940	Malate:quinone oxidoreductase OS=Escherichia coli (strain K12) GN=mqo PE=1 SV=2	mqo	60173.82383	164.42608040556922	9894145.995382138	66494391151.0516
b2211	2306972	2308615	-1	gene		2306972	0	P33941	ABC transporter ATP-binding protein YojI OS=Escherichia coli (strain K12) GN=yojI PE=1 SV=2	yojI	61495.78074	0.8168853689084503	50235.00353610807	66494441386.05513
PM0-10338	2308616	2308641	-1	promoter	[b2211]	2308616	0						5809958.571344681	66500251344.62647
b2212	2308691	2309341	-1	gene		2308691	0	P05050					5809958.571344681	66506061303.197815
b2213	2309341	2310405	-1	gene		2309341	0	P06134					5809958.571344681	66511871261.76916
PM00135	2309342	2309445	-1	promoter	[b2212]	2310405	1						5809958.571344681	66517681220.3405
PM00101	2310406	2310427	-1	promoter	[b2212, b2213]	2310406	0						5809958.571344681	66523491178.91184
b2214	2310479	2311534	-1	gene		2310479	0	P0AB85					5809958.571344681	66529301137.483185
