gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass
PM0-45451	2796787	2796814	-1	promoter	[b2665]	2796787	0					4.591655779049255e-07			89.99306497926409
b2666	2796870	2797028	-1	gene		2796870	0	P0AE42				4.591655779049255e-07			89.99306543842967
PM0-10299	2797029	2797085	-1	promoter	[b2665, b2666]	2797029	0					4.591655779049255e-07			89.99306589759524
b2667	2797211	2797510	1	gene		2797211	0	P77295				4.591655779049255e-07			89.99306635676082
b2668	2797520	2798044	1	gene		2797520	0	P55734	Inner membrane protein ygaP OS=Escherichia coli (strain K12) GN=ygaP PE=1 SV=1	ygaP	Cell inner membrane	0.013410255606451479	0.018311685125447084	0.0148902193325402	89.9930668159264
b2669	2798091	2798495	-1	gene		2798091	0	P0ACG1				4.591655779049255e-07			90.00647707153284
PM00539	2798496	2798578	-1	promoter	[b2669]	2798496	0					4.591655779049255e-07			90.00647753069842
PM0-46380	2799084	2799163	1	promoter	[b2670]	2799084	0					4.591655779049255e-07			90.006477989864
b2670	2799164	2799613	1	gene		2799164	0	P64550				4.591655779049255e-07			90.00647844902957
b2671	2799650	2799994	-1	gene		2799650	0	P0AD53				4.591655779049255e-07			90.00647890819515
PM0-3603	2799995	2800590	-1	promoter	[b2671]	2799995	0					4.591655779049255e-07			90.00647936736073
PM0-10104	2800121	2800145	1	promoter	[b2672]	2800590	1					4.591655779049255e-07			90.0064798265263
b2672	2800146	2800475	1	gene		2800590	1	P0ADQ7	Uncharacterized protein ygaM OS=Escherichia coli (strain K12) GN=ygaM PE=4 SV=1	ygaM	Cell inner membrane	0.00988081757115052	0.010193000936657894	0.01325661891298991	90.00648028569188
PM0-1182	2800656	2800722	1	promoter	[b2673, b2674, b2676, b2675]	2800656	0					4.591655779049255e-07			90.01636110326302
b2673	2800723	2800968	1	gene		2800723	0	P0AC65				4.591655779049255e-07			90.0163615624286
b2674	2800965	2801375	1	gene		2800968	0	P0A772				4.591655779049255e-07			90.01636202159418
b2675	2801348	2803492	1	gene		2801375	0	P39452				4.591655779049255e-07			90.01636248075975
b2676	2803502	2804461	1	gene		2803502	0	P37146				4.591655779049255e-07			90.01636293992533
PM00421	2804563	2804814	1	promoter	[b2679, b2678, b2677]	2804563	0					4.591655779049255e-07			90.0163633990909
b2677	2804815	2806017	1	gene		2804815	0	P14175	Glycine betaine/L-proline transport ATP-binding protein ProV OS=Escherichia coli (strain K12) GN=proV PE=1 SV=1	proV	Cell inner membrane	0.001730908922951259	0.00210858648987683	0.0033270058614321644	90.01636385825648
b2678	2806010	2807074	1	gene		2806017	0	P14176	Glycine betaine/L-proline transport system permease protein proW OS=Escherichia coli (strain K12) GN=proW PE=1 SV=1	proW	Cell inner membrane	0.001721099463722317	0.0018608605279361115	0.0022135940430137164	90.01809476717943
b2679	2807132	2808124	1	gene		2807132	0	P0AFM2	Glycine betaine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=proX PE=1 SV=1	proX	Periplasm	0.04930708282548772	0.041128148397372825	0.04696909529388367	90.01981586664316
b2681	2808316	2809493	1	gene		2808316	0					4.591655779049255e-07			90.06912294946865
b2682	2809617	2810354	1	gene		2809617	0	P76630				4.591655779049255e-07			90.06912340863423
b2683	2810344	2810679	1	gene		2810354	0	P43667				4.591655779049255e-07			90.0691238677998
PM00613	2810747	2810769	1	promoter	[b2684, b2685, b2686]	2810747	0					4.591655779049255e-07			90.06912432696538
b2684	2810770	2811300	1	gene		2810770	0	P0ACR9				4.591655779049255e-07			90.06912478613096
b2685	2811427	2812599	1	gene		2811427	0	P27303	Multidrug resistance protein A OS=Escherichia coli (strain K12) GN=emrA PE=3 SV=2	emrA	Cell inner membrane	0.0027835605709911108	0.0033062285839876647	0.0031404843483165547	90.06912524529653
b2686	2812616	2814154	1	gene		2812616	0	P0AEJ0				4.591655779049255e-07			90.07190880586752
b2687	2814218	2814733	-1	gene		2814218	0	P45578				4.591655779049255e-07			90.0719092650331
PM0-36173	2814734	2815065	-1	promoter	[b2687]	2814734	0					4.591655779049255e-07			90.07190972419868
PM0-9586	2814802	2814801	1	promoter	[b4442]	2815065	1					4.591655779049255e-07			90.07191018336425
b4442	2814802	2814879	1	gene		2815065	1					4.591655779049255e-07			90.07191064252983
b2688	2814883	2816439	-1	gene		2815065	0	P0A6W9				4.591655779049255e-07			90.0719111016954
b2689	2816512	2816940	-1	gene		2816512	0	P0ADR0				4.591655779049255e-07			90.07191156086098
b2690	2816937	2817503	-1	gene		2816940	0	P77475				4.591655779049255e-07			90.07191202002656
b2691	2817784	2817860	-1	gene		2817784	0					4.591655779049255e-07			90.07191247919214
b2692	2818059	2818135	-1	gene		2818059	0					4.591655779049255e-07			90.07191293835771
b2693	2818198	2818274	-1	gene		2818198	0					4.591655779049255e-07			90.07191339752329
b2694	2818473	2818549	-1	gene		2818473	0					4.591655779049255e-07			90.07191385668887
b2695	2818553	2818645	-1	gene		2818553	0					4.591655779049255e-07			90.07191431585444
PM00670	2818646	2818697	-1	promoter	[b2691, b2692, b2693, b2694, b2695]	2818646	0					4.591655779049255e-07			90.07191477502002
b2696	2818961	2819146	-1	gene		2818961	0	P69913				4.591655779049255e-07			90.0719152341856
PM0-46139	2819147	2819373	-1	promoter	[b2696]	2819147	0					4.591655779049255e-07			90.07191569335117
b2697	2819381	2822011	-1	gene		2819381	0	P00957	Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2	alaS	Cytoplasm	0.3081139057673627	0.32225585683831764	0.3104324079095531	90.07191615251675
PM00424	2822012	2822090	-1	promoter	[b2697]	2822012	0					4.591655779049255e-07			90.3800300582841
b2698	2822139	2822639	-1	gene		2822139	0	P33596				4.591655779049255e-07			90.38003051744968
b2699	2822708	2823769	-1	gene		2822708	0	P0A7G6	Protein recA OS=Escherichia coli (strain K12) GN=recA PE=1 SV=2	recA	Cytoplasm	0.0851192884140908	0.09788085017895296	0.09539181270341585	90.38003097661526
PM00086	2823770	2823819	-1	promoter	[b2698, b2699]	2823770	0					4.591655779049255e-07			90.46515026502935
b2700	2823849	2824346	-1	gene		2823849	0	P0A6G3				4.591655779049255e-07			90.46515072419493
PM0-9715	2824347	2824394	-1	promoter	[b2700]	2824347	0					4.591655779049255e-07			90.4651511833605
b2701	2824491	2825576	-1	gene		2824491	0	P41052	Membrane-bound lytic murein transglycosylase B OS=Escherichia coli (strain K12) GN=mltB PE=1 SV=1	mltB	Cell outer membrane	0.0005055329410222197	0.0021910821389721728	0.002225699272351272	90.46515164252608
PM00178	2825791	2825831	1	promoter	[b2702, b2703, b2704, b2705, b2706, b2707, b2708]	2825791	0					4.591655779049255e-07			90.4656571754671
b2702	2825832	2826395	1	gene		2825832	0	P56579				4.591655779049255e-07			90.46565763463268
b2703	2826392	2827351	1	gene		2826395	0	P56580	Glucitol/sorbitol-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=srlE PE=1 SV=1	srlE	Cell inner membrane	1.3120054197059504e-05	6.007560493700963e-05	6.761450655624819e-07	90.46565809379825
b2704	2827362	2827733	1	gene		2827362	0	P05706	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=srlB PE=4 SV=1	srlB	Cytoplasm	0.00020953685075398215	0.0001931033569900969	0.00028450382922090334	90.46567121385245
b2705	2827737	2828516	1	gene		2827737	0	P05707				4.591655779049255e-07			90.4658807507032
b2706	2828621	2828980	1	gene		2828621	0	P15081				4.591655779049255e-07			90.46588120986878
PM00640	2828860	2829046	1	promoter	[b2707]	2828980	0					4.591655779049255e-07			90.46588166903436
b2707	2829047	2829820	1	gene		2829047	0	P15082				4.591655779049255e-07			90.46588212819994
b2708	2829813	2830778	1	gene		2829820	0	P17115				4.591655779049255e-07			90.46588258736551
b2709	2830775	2832289	-1	gene		2830778	0	P37013				4.591655779049255e-07			90.46588304653109
PM0-9342	2832290	2832307	-1	promoter	[b2709]	2832290	0					4.591655779049255e-07			90.46588350569667
PM0-4681	2832439	2832475	1	promoter	[b2711, b2710]	2832439	0					4.591655779049255e-07			90.46588396486224
b2710	2832476	2833915	1	gene		2832476	0	Q46877				4.591655779049255e-07			90.46588442402782
b2711	2833912	2835045	1	gene		2833915	0	P37596				4.591655779049255e-07			90.4658848831934
b2712	2835173	2837425	-1	gene		2835173	0	P30131				4.591655779049255e-07			90.46588534235897
PM0-9568	2837426	2838105	-1	promoter	[b2712]	2837426	0					4.591655779049255e-07			90.46588580152455
b2713	2837578	2838105	-1	gene		2838105	0	P0AAK4				4.591655779049255e-07			90.46588626069013
PM526	2838106	2838132	-1	promoter	[b2712, b2713]	2838106	0					4.591655779049255e-07			90.4658867198557
b2714	2838254	2839264	-1	gene		2838254	0	P24242				4.591655779049255e-07			90.46588717902128
PM0-8848	2839429	2839523	1	promoter	[b2715, b2716]	2839429	0					4.591655779049255e-07			90.46588763818686
b2715	2839524	2840981	1	gene		2839524	0	P24241				4.591655779049255e-07			90.46588809735243
PM0-46347	2840942	2840989	1	promoter	[b2716]	2840981	0					4.591655779049255e-07			90.46588855651801
b2716	2840990	2842414	1	gene		2840990	0	P24240				4.591655779049255e-07			90.46588901568359
b2717	2842573	2843043	-1	gene		2842573	0	P0AEV9				4.591655779049255e-07			90.46588947484916
b2718	2843036	2843446	-1	gene		2843043	0	P0AEV7				4.591655779049255e-07			90.46588993401474
b2719	2843443	2844210	-1	gene		2843446	0	P16433				4.591655779049255e-07			90.46589039318032
b2720	2844210	2844752	-1	gene		2844210	0	P16432				4.591655779049255e-07			90.4658908523459
b2721	2844762	2846471	-1	gene		2844762	0	P16431				4.591655779049255e-07			90.46589131151147
b2722	2846489	2847412	-1	gene		2846489	0	P16430				4.591655779049255e-07			90.46589177067705
b2723	2847415	2849241	-1	gene		2847415	0	P16429				4.591655779049255e-07			90.46589222984262
b2724	2849238	2849849	-1	gene		2849241	0	P0AAK1				4.591655779049255e-07			90.4658926890082
b2725	2849974	2850435	-1	gene		2849974	0	P0AEV4				4.591655779049255e-07			90.46589314817378
PM00209	2850436	2850461	-1	promoter	[b2717, b2718, b2719, b2720, b2721, b2722, b2723, b2724, b2725]	2850436	0					4.591655779049255e-07			90.46589360733935
PM00210	2850627	2850646	1	promoter	[b2731, b2730, b2729, b2728, b2727, b2726]	2850627	0					4.591655779049255e-07			90.46589406650493
b2726	2850647	2850997	1	gene		2850647	0	P0A700				4.591655779049255e-07			90.4658945256705
PM00574	2850839	2851000	1	promoter	[b2731, b2730, b2729, b2728, b2727]	2850997	0					4.591655779049255e-07			90.46589498483608
b2727	2851001	2851873	1	gene		2851001	0	P0AAN3				4.591655779049255e-07			90.46589544400166
b2728	2851864	2852136	1	gene		2851873	0	P0AAM3				4.591655779049255e-07			90.46589590316724
b2729	2852136	2853257	1	gene		2852136	0	P24192				4.591655779049255e-07			90.46589636233281
b2730	2853254	2854264	1	gene		2853257	0					4.591655779049255e-07			90.46589682149839
b2731	2854338	2856416	1	gene		2854338	0	P19323				4.591655779049255e-07			90.46589728066397
b2732	2856453	2856806	-1	gene		2856453	0	P25728				4.591655779049255e-07			90.46589773982954
PM-8829	2856807	2856828	-1	promoter	[b2732]	2856807	0					4.591655779049255e-07			90.46589819899512
PM823	2857019	2857092	1	promoter	[b2733]	2857019	0					4.591655779049255e-07			90.4658986581607
b2733	2857093	2859654	1	gene		2857093	0	P23909	DNA mismatch repair protein mutS OS=Escherichia coli (strain K12) GN=mutS PE=1 SV=1	mutS	Cytoplasm	0.006307514600214671	0.00614922499917971	0.005376878136769137	90.46589911732627
b2734	2859760	2860416	1	gene		2859760	0	P55799				4.591655779049255e-07			90.47220663192648
b2735	2860467	2861234	-1	gene		2860467	0	P52598				4.591655779049255e-07			90.47220709109206
b2736	2861430	2862338	1	gene		2861430	0	Q46888				4.591655779049255e-07			90.47220755025764
PM0-9374	2862197	2862334	1	promoter	[b2737]	2862338	1					4.591655779049255e-07			90.47220800942321
b2737	2862335	2863501	1	gene		2862338	0	Q46889				4.591655779049255e-07			90.47220846858879
b2738	2863593	2864231	1	gene		2863593	0	Q46890				4.591655779049255e-07			90.47220892775437
b2739	2864236	2865012	1	gene		2864236	0	Q46891				4.591655779049255e-07			90.47220938691994
b2740	2865101	2866465	1	gene		2865101	0	Q46892				4.591655779049255e-07			90.47220984608552
b2741	2866559	2867551	-1	gene		2866559	0	P13445	RNA polymerase sigma factor rpoS OS=Escherichia coli (strain K12) GN=rpoS PE=3 SV=3	rpoS	Cytoplasm	0.01302664170141157	0.013819550427988549	0.014024719635956886	90.4722103052511
PM00590	2867552	2868118	-1	promoter	[b2741]	2867552	0					4.591655779049255e-07			90.48523694695251
b2742	2867614	2868753	-1	gene		2868118	0	P0ADA3	Lipoprotein nlpD OS=Escherichia coli (strain K12) GN=nlpD PE=1 SV=1	nlpD	Cell inner membrane	0.02404654235494597	0.022933061914155683	0.021614767939074107	90.48523740611809
PM00586	2868754	2868829	-1	promoter	[b2741, b2742]	2868754	0					4.591655779049255e-07			90.50928394847304
b2743	2868893	2869519	-1	gene		2868893	0	P0A7A5	Protein-L-isoaspartate O-methyltransferase OS=Escherichia coli (strain K12) GN=pcm PE=1 SV=2	pcm	Cytoplasm	0.008561721418913126	0.007242898739506446	0.006942617004339066	90.50928440763862
b2744	2869513	2870274	-1	gene		2869519	0	P0A840	Multifunctional protein surE OS=Escherichia coli (strain K12) GN=surE PE=1 SV=1	surE	Cytoplasm	0.006611822410117591	0.008054877587795786	0.007167312186231751	90.51784612905753
b2745	2870255	2871304	-1	gene		2870274	0	Q57261				4.591655779049255e-07			90.52445795146765
PM0-9657	2870275	2870686	-1	promoter	[b2743, b2744]	2871304	1					4.591655779049255e-07			90.52445841063323
b2746	2871301	2871780	-1	gene		2871304	0	P62617				4.591655779049255e-07			90.5244588697988
b2747	2871780	2872490	-1	gene		2871780	0	Q46893				4.591655779049255e-07			90.52445932896438
b2748	2872509	2872820	-1	gene		2872509	0	P0A6S5	Cell division protein ftsB OS=Escherichia coli (strain K12) GN=ftsB PE=1 SV=1	ftsB	Cell inner membrane	0.0006889675611790227	0.0005302705074915375	0.00040874871893057014	90.52445978812996
b2749	2873014	2873337	-1	gene		2873014	0	P46141				4.591655779049255e-07			90.52514875569113
b2750	2873387	2873992	-1	gene		2873387	0	P0A6J1				4.591655779049255e-07			90.52514921485671
b2751	2873992	2875419	-1	gene		2873992	0	P23845				4.591655779049255e-07			90.52514967402229
b2752	2875421	2876329	-1	gene		2875421	0	P21156				4.591655779049255e-07			90.52515013318786
PM00198	2876330	2876368	-1	promoter	[b2750, b2751, b2752]	2876330	0					4.591655779049255e-07			90.52515059235344
b2753	2876581	2877618	1	gene		2876581	0	P10423				4.591655779049255e-07			90.52515105151902
b2754	2878569	2878853	-1	gene		2878569	0	P45956				4.591655779049255e-07			90.5251515106846
PM0-9718	2878854	2878915	-1	promoter	[b2754]	2878854	0					4.591655779049255e-07			90.52515196985017
b2755	2878855	2879772	-1	gene		2878915	0	Q46896				4.591655779049255e-07			90.52515242901575
b2756	2879788	2880387	-1	gene		2879788	0	Q46897				4.591655779049255e-07			90.52515288818132
b2757	2880374	2881048	-1	gene		2880387	0	Q46898				4.591655779049255e-07			90.5251533473469
b2758	2881051	2882142	-1	gene		2881051	0	Q46899				4.591655779049255e-07			90.52515380651248
b2759	2882155	2882637	-1	gene		2882155	0	P76632				4.591655779049255e-07			90.52515426567805
b2760	2882630	2884138	-1	gene		2882637	0	Q46901				4.591655779049255e-07			90.52515472484363
PM0-10544	2884139	2884319	-1	promoter	[b2760, b2759, b2758, b2757, b2756, b2755, b2754]	2884139	0					4.591655779049255e-07			90.52515518400921
b2761	2884553	2887219	-1	gene		2884553	0	P38036				4.591655779049255e-07			90.52515564317478
b4701	2887354	2887409	1	gene		2887354	0					4.591655779049255e-07			90.52515610234036
b2762	2887578	2888312	-1	gene		2887578	0	P17854	Phosphoadenosine phosphosulfate reductase OS=Escherichia coli (strain K12) GN=cysH PE=1 SV=3	cysH	Cytoplasm	0.08633482919372945	0.0847974220113511	0.09541407160616262	90.52515656150594
b2763	2888387	2890099	-1	gene		2888387	0	P17846				4.591655779049255e-07			90.61149139069967
b2764	2890099	2891898	-1	gene		2890099	0	P38038				4.591655779049255e-07			90.61149184986525
PM00107	2891899	2891964	-1	promoter	[b2762, b2763, b2764]	2891899	0					4.591655779049255e-07			90.61149230903082
b2765	2892214	2892579	1	gene		2892214	0	P65870				4.591655779049255e-07			90.6114927681964
b2766	2892657	2893928	1	gene		2892657	0	Q46904				4.591655779049255e-07			90.61149322736198
b2767	2893919	2894179	1	gene		2893928	0	Q46905				4.591655779049255e-07			90.61149368652755
b2768	2894196	2894771	1	gene		2894196	0	Q46906				4.591655779049255e-07			90.61149414569313
b2769	2894919	2895779	-1	gene		2894919	0	Q46907				4.591655779049255e-07			90.6114946048587
b2770	2895776	2896555	-1	gene		2895779	0	Q46908				4.591655779049255e-07			90.61149506402428
b2771	2896533	2897870	-1	gene		2896555	0	Q46909				4.591655779049255e-07			90.61149552318986
b4463	2897964	2899418	-1	gene		2897964	0	Q46911				4.591655779049255e-07			90.61149598235544
b2774	2899488	2900273	-1	gene		2899488	0	P76633				4.591655779049255e-07			90.61149644152101
b2775	2900592	2901869	1	gene		2900592	0	P77031				4.591655779049255e-07			90.61149690068659
b2776	2901896	2903374	1	gene		2901896	0	P55138				4.591655779049255e-07			90.61149735985217
b2777	2904747	2905418	-1	gene		2904747	0	P64554				4.591655779049255e-07			90.61149781901774
b4682	2905557	2905697	1	gene		2905557	0	C1P612				4.591655779049255e-07			90.61149827818332
b2778	2905711	2906583	1	gene		2905711	0	P55140				4.591655779049255e-07			90.6114987373489
b2779	2906643	2907941	-1	gene		2906643	0	P0A6P9	Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2	eno	Cytoplasm	2.984644121450625	2.671456863626568	2.7377556550347806	90.61149919651447
PM0-9576	2907942	2908846	-1	promoter	[b2779]	2907942	0					4.591655779049255e-07			93.5961433179651
b2780	2908029	2909666	-1	gene		2908846	0	P0A7E5	CTP synthase OS=Escherichia coli (strain K12) GN=pyrG PE=1 SV=2	pyrG	Cytoplasm	0.09617052487754384	0.09762177119587503	0.09379745362333754	93.59614377713068
PM00426	2909667	2909797	-1	promoter	[b2779, b2780]	2909667	0					4.591655779049255e-07			93.69231430200823
b2781	2909894	2910685	-1	gene		2909894	0	P0AEY3				4.591655779049255e-07			93.6923147611738
b2782	2910756	2911091	-1	gene		2910756	0	P0AE70				4.591655779049255e-07			93.69231522033938
b2783	2911091	2911339	-1	gene		2911091	0	P0AE72				4.591655779049255e-07			93.69231567950496
PM622	2911340	2911368	-1	promoter	[b2781, b2782, b2783]	2911340	0					4.591655779049255e-07			93.69231613867053
b2784	2911417	2913651	-1	gene		2911417	0	P0AG20				4.591655779049255e-07			93.69231659783611
PM0-9355	2913652	2914277	-1	promoter	[b2782, b2783, b2784]	2913652	0					4.591655779049255e-07			93.69231705700169
PM0-46332	2913652	2914318	-1	promoter	[b2784]	2914277	0					4.591655779049255e-07			93.69231751616726
b2785	2913699	2915000	-1	gene		2914318	0	P55135				4.591655779049255e-07			93.69231797533284
PM0-10114	2915001	2915043	-1	promoter	[b2785]	2915001	0					4.591655779049255e-07			93.69231843449842
b2786	2915057	2917813	1	gene		2915057	0					4.591655779049255e-07			93.692318893664
b2787	2918045	2919385	-1	gene		2918045	0	P0AES2				4.591655779049255e-07			93.69231935282957
b2788	2919406	2920746	-1	gene		2919406	0	Q46915				4.591655779049255e-07			93.69231981199515
b2789	2920748	2922100	-1	gene		2920748	0	Q46916				4.591655779049255e-07			93.69232027116072
b2790	2922535	2922984	-1	gene		2922535	0	P65367				4.591655779049255e-07			93.6923207303263
b2791	2923002	2923784	-1	gene		2923002	0	P0AA41				4.591655779049255e-07			93.69232118949188
b2792	2923784	2924113	-1	gene		2923784	0	Q46919				4.591655779049255e-07			93.69232164865745
b4408	2924156	2924524	-1	gene		2924156	0					4.591655779049255e-07			93.69232210782303
PM0-5001	2924525	2924524	-1	promoter	[b4408]	2924525	1					4.591655779049255e-07			93.69232256698861
b2793	2924735	2925280	-1	gene		2924735	0	P0A8U0	Protein syd OS=Escherichia coli (strain K12) GN=syd PE=1 SV=1	syd	Cell inner membrane	0.0026447361346408965	0.0026750535560174527	0.0023358228891015263	93.69232302615418
PM0-10115	2925321	2925347	1	promoter	[b2794]	2925321	0					4.591655779049255e-07			93.69496776228883
b2794	2925348	2926196	1	gene		2925348	0	Q46920	NADPH-dependent 7-cyano-7-deazaguanine reductase OS=Escherichia coli (strain K12) GN=queF PE=1 SV=1	queF	Cytoplasm	0.0029888965991171157	0.0031825300579780644	0.003362015823964213	93.6949682214544
b2795	2926308	2927672	1	gene		2926308	0	P0ADR8				4.591655779049255e-07			93.69795711805352
b2796	2928229	2929518	1	gene		2928229	0	P0AAD6	Serine transporter OS=Escherichia coli (strain K12) GN=sdaC PE=1 SV=1	sdaC	Cell inner membrane	0.005934838950891089	0.0049559029595454916	0.005137585486039373	93.6979575772191
b2797	2929576	2930943	1	gene		2929576	0	P30744				4.591655779049255e-07			93.70389241616999
b2798	2931055	2931810	1	gene		2931055	0	P38506				4.591655779049255e-07			93.70389287533557
b2799	2931865	2933013	-1	gene		2931865	0	P0A9S1				4.591655779049255e-07			93.70389333450115
b2800	2933041	2933688	-1	gene		2933041	0	P0AB87				4.591655779049255e-07			93.70389379366672
PM00180	2933689	2933854	-1	promoter	[b2799, b2800]	2933689	0					4.591655779049255e-07			93.7038942528323
PM00172	2934119	2934234	1	promoter	[b2801, b2802, b2803, b2804, b2805]	2934119	0					4.591655779049255e-07			93.70389471199788
b2801	2934235	2935551	1	gene		2934235	0	P11551				4.591655779049255e-07			93.70389517116345
b2802	2935584	2937359	1	gene		2935584	0	P69922	L-fucose isomerase OS=Escherichia coli (strain K12) GN=fucI PE=1 SV=1	fucI	Cytoplasm	0.0005020625347137162	0.0002733667650531295	0.00025294988511700083	93.70389563032903
b2803	2937468	2938886	1	gene		2937468	0	P11553				4.591655779049255e-07			93.70439769286374
b2804	2938888	2939310	1	gene		2938888	0	P0AEN8	L-fucose mutarotase OS=Escherichia coli (strain K12) GN=fucU PE=1 SV=1	fucU	Cytoplasm	0.0068082081273465765	0.00724263214958758	0.006151687728663554	93.70439815202931
b2805	2939368	2940099	1	gene		2939368	0	P0ACK8				4.591655779049255e-07			93.71120636015667
b2806	2940143	2941243	-1	gene		2940143	0	P0ADR6	Ribosomal RNA large subunit methyltransferase M OS=Escherichia coli (strain K12) GN=rlmM PE=1 SV=1	rlmM	Cytoplasm	0.00936349296640432	0.008467885702409575	0.007309114119318344	93.71120681932224
b2807	2941236	2941631	-1	gene		2941243	0	P0ADR2				4.591655779049255e-07			93.72057031228864
b2808	2941650	2942567	-1	gene		2941650	0	P0A9F6	Glycine cleavage system transcriptional activator OS=Escherichia coli (strain K12) GN=gcvA PE=1 SV=1	gcvA	Cytoplasm	0.0003238201305540097	0.0002858838630807953	0.0003129426728773126	93.72057077145422
PM00234	2942568	2942639	-1	promoter	[b2808]	2942568	0					4.591655779049255e-07			93.72089459158478
PM0-6484	2942696	2942695	1	promoter	[b4443]	2942696	1					4.591655779049255e-07			93.72089505075036
b4443	2942696	2942901	1	gene		2942696	0					4.591655779049255e-07			93.72089550991593
b2809	2942918	2943145	-1	gene		2942918	0	P65292	Uncharacterized lipoprotein ygdI OS=Escherichia coli (strain K12) GN=ygdI PE=4 SV=1	ygdI	Cell membrane	0.017811750409134283	0.019574662509388767	0.02398438227489934	93.72089596908151
b2810	2943337	2944542	1	gene		2943337	0	Q46925				4.591655779049255e-07			93.73870771949065
b2811	2944542	2944985	1	gene		2944542	0	P0AGF2				4.591655779049255e-07			93.73870817865622
b2812	2945036	2945842	-1	gene		2945036	0	Q46927				4.591655779049255e-07			93.7387086378218
b2813	2946081	2947178	-1	gene		2946081	0	P0A935	Membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain K12) GN=mltA PE=1 SV=1	mltA	Cell outer membrane	0.001642022946014658	0.0015530712520854405	0.001842068950034546	93.73870909698738
PM00655	2947382	2947386	1	promoter	[b2814, b2815, b2816]	2947382	0					4.591655779049255e-07			93.7403511199334
b2814	2947387	2947463	1	gene		2947387	0					4.591655779049255e-07			93.74035157909897
b2815	2947497	2947573	1	gene		2947497	0					4.591655779049255e-07			93.74035203826455
b2816	2947607	2947683	1	gene		2947607	0					4.591655779049255e-07			93.74035249743012
b2817	2947757	2949010	-1	gene		2947757	0	P63883	N-acetylmuramoyl-L-alanine amidase AmiC OS=Escherichia coli (strain K12) GN=amiC PE=1 SV=1	amiC	Periplasm	5.476361757041862e-07	5.506001346420852e-07	0.00012221673347134022	93.7403529565957
PM0-8908	2949156	2949241	1	promoter	[b2818]	2949156	0					4.591655779049255e-07			93.74035350423188
b2818	2949242	2950573	1	gene		2949242	0	P0A6C5	Amino-acid acetyltransferase OS=Escherichia coli (strain K12) GN=argA PE=1 SV=1	argA	Cytoplasm	0.0266417508793437	0.027144894278591916	0.02742320782901085	93.74035396339745
b2819	2950635	2952461	-1	gene		2950635	0	P04993				4.591655779049255e-07			93.7669957142768
b2820	2952461	2956003	-1	gene		2952461	0	P08394				4.591655779049255e-07			93.76699617344238
b2821	2955996	2958884	-1	gene		2956003	0	P05458	Protease 3 OS=Escherichia coli (strain K12) GN=ptrA PE=1 SV=1	ptrA	Periplasm	0.00858485831516843	0.010525722549362291	0.008698828141550841	93.76699663260796
PM00428	2958885	2959011	-1	promoter	[b2821, b2820, b2819]	2958885	0					4.591655779049255e-07			93.77558149092313
b2822	2959060	2962428	-1	gene		2959060	0	P07648				4.591655779049255e-07			93.77558195008871
PM-8771	2962429	2962507	-1	promoter	[b2822]	2962429	0					4.591655779049255e-07			93.77558240925428
b2823	2962441	2962764	-1	gene		2962507	0	P08372				4.591655779049255e-07			93.77558286841986
b2824	2962749	2963156	-1	gene		2962764	0	P08370				4.591655779049255e-07			93.77558332758544
b2825	2963153	2963716	-1	gene		2963156	0	P08371				4.591655779049255e-07			93.77558378675101
b2826	2963707	2964177	-1	gene		2963716	0	P33554				4.591655779049255e-07			93.77558424591659
PM0-9373	2964178	2964220	-1	promoter	[b2826, b2825, b2824, b2823, b2822]	2964178	0					4.591655779049255e-07			93.77558470508217
b2827	2964361	2965155	-1	gene		2964361	0	P0A884	Thymidylate synthase OS=Escherichia coli (strain K12) GN=thyA PE=1 SV=1	thyA	Cytoplasm	0.0181437693792996	0.01967857075189709	0.019340294863266664	93.77558516424774
PM0-46368	2965156	2965254	-1	promoter	[b2827]	2965156	0					4.591655779049255e-07			93.79372893362704
b2828	2965162	2966037	-1	gene		2965254	0	P60955	Prolipoprotein diacylglyceryl transferase OS=Escherichia coli (strain K12) GN=lgt PE=1 SV=1	lgt	Cell inner membrane	0.00039056511056322974	0.00021121802726175115	0.00041702488981024295	93.79372939279261
PM0-46367	2966038	2966121	-1	promoter	[b2827, b2828]	2966038	0					4.591655779049255e-07			93.79411995790318
b2829	2966188	2968434	-1	gene		2966188	0					4.591655779049255e-07			93.79412041706875
b2830	2968447	2968977	-1	gene		2968447	0	P0A776				4.591655779049255e-07			93.79412087623433
PM0-36250	2968978	2968993	-1	promoter	[b2830, b2829]	2968978	0					4.591655779049255e-07			93.79412133539991
b2831	2969662	2970351	1	gene		2969662	0	P06722				4.591655779049255e-07			93.79412179456548
b2832	2970420	2971133	1	gene		2970420	0	P67127				4.591655779049255e-07			93.79412225373106
